"","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count"
"ZNF23",2.31664315056011,1.57841877441298,2.98703150397686,2.15205483421321
"ZNF230",3.3828344749956,2.48208668943057,3.59161292707673,3.11749381754101
"ZNF232",2.9611410268072,3.70319386854433,1.92652130916797,2.78668657386262
"ZNF233",1.04832523721141,-1.37408543620625,-0.260033270117094,1.62745016938125
"ZNF234",3.30621197667337,3.92688822675746,4.09468097171022,4.81970530944611
"ZNF235",5.05078102708706,4.36587936799532,4.82301782772865,3.91788535218717
"ZNF236",6.78673353838005,6.28326362496034,6.68440091331732,5.73625593708108
"ZNF236-DT",-0.0968614115448922,-0.142540522383054,-2.99154679673558,-2.99154679673557
"ZNF239",1.12170400251131,3.06965512941053,1.59815358431691,1.36824435489303
"ZNF24",6.95929364697282,6.84575856053001,7.00941022598116,5.93305340905588
"ZNF248",5.0809917296553,4.85761712756285,5.82145608268292,5.07298402702961
"ZNF25",4.33607838312519,4.23252504084548,4.11092467080211,3.14537695740935
"ZNF250",3.70277570871126,4.39826708925797,4.74189868819474,4.95583768473367
"ZNF251",4.86560808558341,5.20752601321216,4.90293057782015,4.12111586196576
"ZNF252P",6.04096621572842,6.22125209459143,5.2495540442303,6.57070844427344
"ZNF252P-AS1",2.46500039413103,2.62274007780084,1.56709317360954,1.58735574895266
"ZNF253",3.14836528491001,4.33274782971057,4.25918097728541,2.92179832308957
"ZNF254",3.80098349773745,4.18381052699769,5.56660754381328,4.51763178172596
"ZNF256",1.79533769295473,0.613600275755168,2.59892421650082,3.03045741184133
"ZNF257",0.662232284549689,-0.318510420703441,1.99813398096876,2.78668657386262
"ZNF26",6.59150078247352,5.97271169585663,6.88111634413202,5.81214781514994
"ZNF260",6.01832739734609,5.97867366113585,5.21990603526526,5.43395237565263
"ZNF263",5.2273886043164,4.98154732860445,4.75917875622233,4.37771793186141
"ZNF264",6.95239627806514,5.87508801535783,6.65516133854592,6.99519866663271
"ZNF266",6.23739970259667,5.94739886029386,5.67800961935821,5.59932177364998
"ZNF267",6.47469988066919,5.97151634053628,5.89989580103789,5.67300923472518
"ZNF268",5.06247551451188,4.10750842117512,4.53274398574014,6.08295842551155
"ZNF271P",5.3257698845118,5.68397950930357,5.288160122812,4.74877181636795
"ZNF273",3.96946174613758,3.29279124106758,3.56040984270868,5.22771224886525
"ZNF274",5.88110370086293,5.98934350171649,5.57248451049485,5.19139408596005
"ZNF275",5.09016147595001,5.15373553295779,6.25693284896762,5.83372978743256
"ZNF276",6.38813008004484,6.25111402171541,6.83296720467332,6.02597724243971
"ZNF277",4.54390048053564,4.00374322950453,3.53655650681594,4.81102702047554
"ZNF28",5.05547020364003,4.36223543659927,3.36658122560245,4.11407778783149
"ZNF280A",-2.99154679673557,-0.751836081612446,-2.99154679673558,2.42656659330563
"ZNF280B",1.04832523721141,0.661827389894465,3.18414350316773,2.87260224915209
"ZNF280C",4.07021257916775,4.38396223382776,4.89981762899526,4.74422050525716
"ZNF280D",5.75705254140084,4.92832471808279,5.84106377318731,4.91187218927316
"ZNF281",5.36407392469613,5.21360549882077,6.00068259960149,6.08295842551155
"ZNF282",5.21696190553949,4.74460033006546,4.45852123673878,5.24714344376914
"ZNF283",4.21136375258158,5.01209824098716,4.41557430080702,4.34201831876332
"ZNF284",2.36277379110704,2.00958869239686,2.47052845017309,3.28978691407779
"ZNF285",2.23632131194867,-0.88407510485039,1.71611098531516,2.92179832308957
"ZNF286A",4.351412874707,4.72770732581535,4.15858642317095,3.31455806089701
"ZNF286B",2.91027587192835,2.48208668943057,1.92652130916797,0.863469729114516
"ZNF287",2.76896759300089,1.41918740190666,2.50371445343146,4.37771793186141
"ZNF292",8.43836295616421,7.69949447835068,8.47893871219918,7.87675236188021
"ZNF295-AS1",1.08548109603551,-0.630707005779911,-0.0528373352965142,2.03768759726981
"ZNF296",2.83591029974041,1.65189488406731,1.71611098531516,1.16531856643294
"ZNF3",6.07600378987633,5.42921695465816,5.55873416113707,5.31008660001528
"ZNF30",0.0607056075357785,1.41918740190666,1.08730465929878,1.27034640103147
"ZNF300",5.19800181949641,5.45852290447433,5.01074510012648,4.04174156991395
"ZNF302",5.76423135534755,4.85761712756285,4.95484818036593,4.9518957283578
"ZNF304",4.65002164989452,2.62274007780084,3.59161292707673,3.4548667492114
"ZNF311",2.8682517422007,1.24017582388946,0.742758713187363,2.06714053926761
"ZNF316",6.08520519324277,5.785419445394,5.39593391841876,5.42544898216181
"ZNF317",5.70428284660195,5.89161365922096,5.35333044491572,5.61685520574104
"ZNF318",7.41605054853709,7.73268253110003,7.94066187009012,6.26713395349785
"ZNF319",3.20010185388131,3.36010819504267,3.49590302995396,4.55968285097379
"ZNF32",2.72254869147987,2.70559651830784,3.23443429605509,3.81747457408204
"ZNF320",4.60275007431704,2.65883418286436,4.72088563596348,3.78238886304668
"ZNF321P",2.72254869147987,1.33245633382162,1.56709317360954,1.32012560982557
"ZNF322",3.0671060726669,2.35584427894305,3.87133517671505,3.56219194942514
"ZNF324",4.13367177310791,4.79682607005128,4.57238642267604,4.03430439663825
"ZNF324B",3.37535277764775,4.05881156532498,3.18414350316773,3.32678594302897
"ZNF326",7.1290566708174,6.62406373843836,6.60060526245776,6.05198970131341
"ZNF329",3.15711791764695,3.78712201455976,3.24428545570565,2.76887194477271
"ZNF330",2.84677153679033,3.90701727001826,3.1943428866507,3.27723999745341
"ZNF331",4.2239151782196,6.13952439727209,4.35776090835678,5.06205404609077
"ZNF333",4.41482507724381,4.33274782971057,5.3000156866631,4.77578222156076
"ZNF334",2.45083264631778,1.30234727730813,3.79296173808101,1.70444346638055
"ZNF335",5.67411026794752,5.8852800244437,5.98901201437325,5.37923116559711
"ZNF337",5.23774048726,5.31510579485225,5.7797302485809,4.68845449504171
"ZNF337-AS1",5.06247551451188,4.3803637473948,5.5468429305794,4.58025750919376
"ZNF33A",6.74161947001806,6.58082020436291,7.55584494813915,6.81921392454335
"ZNF33B",5.85175061189729,6.19281202508278,6.83948069605038,5.79464672543655
"ZNF34",3.36783207848723,3.0334540414837,2.6737308948023,2.33267637933463
"ZNF341",3.44847908345315,3.73171586994024,3.70295869992705,2.75083458460936
"ZNF343",3.82315107762726,3.91201072673225,3.85856504569254,3.91788535218717
"ZNF345",3.81764103332952,3.9464892052555,3.87133517671505,2.87260224915209
"ZNF346",4.85488826126457,4.66992448026703,5.8539890654619,5.49211280860103
"ZNF347",4.00867710800601,4.24445092229184,4.8778368598139,2.42656659330563
"ZNF35",3.34503185007483,3.76521423142476,2.99871805665401,2.98488752047864
"ZNF350",2.16868022474719,1.41918740190666,3.45407068577346,2.1792841356884
"ZNF350-AS1",-1.54980588106307,0.0867294800992284,0.565517085641543,1.97691405532098
"ZNF354A",3.70874144928823,3.89697820549232,4.91531563570551,4.45773427946638
"ZNF354B",4.73724184982573,4.15461508837739,5.10836536813947,3.9577446986415
"ZNF354C",2.39272794275015,4.00374322950453,4.86512440320818,4.81102702047554
"ZNF358",3.29038675006405,3.59557713474007,3.23443429605509,2.53593927711849
"ZNF362",5.68776607141681,5.68980613155949,5.07010621328785,5.98990726412171
"ZNF365",4.2850847975904,1.33245633382162,2.11011405152919,2.1792841356884
"ZNF366",1.92398556319495,1.47424050941667,2.61419908288291,0.481288849189269
"ZNF367",4.50328999183614,5.55105439852319,4.32099648348383,4.78023519709116
"ZNF37A",6.00505648694496,5.69994643733502,6.7524214266881,6.63726842173277
"ZNF37BP",6.48603344851937,6.73177113096116,7.07228578828246,5.2047067135549
"ZNF382",2.42207279644201,4.13766282115869,3.81956209851588,2.63760138576882
"ZNF383",5.03662135087391,4.43342072690801,4.44577085973383,3.4548667492114
"ZNF384",6.2497276038669,6.51997909553784,6.61681067151834,6.0146838482906
"ZNF385A",7.07696673557589,7.45371447553952,5.42003600463778,6.77973018061344
"ZNF385B",1.12170400251131,1.30234727730813,-0.0528373352965142,0.294691686302861
"ZNF385C",0.506564663408796,1.52726978808101,2.02123613980174,3.55181166516487
"ZNF385D",2.87887309169801,0.753698964278036,3.31142204042592,2.20600901932413
"ZNF391",2.30093255607466,2.76199536945464,2.9148515278011,0.863469729114516
"ZNF394",5.72503436116002,5.34679755194348,5.82145608268292,4.91996621744593
"ZNF395",5.78978327330116,5.39395947207283,5.53485287293094,5.20139005553484
"ZNF396",3.01027373456904,0.881388923330461,2.27295886742791,1.88066610922436
"ZNF397",6.78108235902122,6.39626208580798,6.62720035092721,5.3644790941211
"ZNF398",6.16222194802178,5.58271394228054,5.58997311896398,5.97832680490125
"ZNF404",0.506564663408796,-0.88407510485039,0.849873137879971,-0.0401235156135465
"ZNF407",6.80981345469799,6.72114175886005,7.06813205285926,5.93704711536508
"ZNF408",2.8682517422007,3.02426003231111,3.1635258346075,2.00762081338931
"ZNF41",4.57689059716437,4.55332111274444,5.20988640669955,4.67416955029789
"ZNF410",3.60380798904798,3.76521423142476,4.20976029011481,3.4548667492114
"ZNF414",3.49063937059804,3.36010819504267,2.9148515278011,2.5977920056993
"ZNF415",1.04832523721141,-0.88407510485039,0.742758713187363,0.991880946612263
"ZNF415P1",1.55159647173175,1.72180952551617,0.627049036753395,1.41480984450361
"ZNF416",3.19160691019657,2.48208668943057,2.74484916052392,3.26458300403081
"ZNF417",5.3257698845118,4.42645819166871,5.64306468733158,4.70728369285639
"ZNF418",2.18589012844129,0.458418961514583,2.34796982208993,0.722502194885205
"ZNF419",3.99897274712147,2.58571972857307,3.79296173808101,4.58025750919376
"ZNF420",2.40747497871042,3.33057662847399,2.86464386214498,2.35672796468965
