"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"CNOT1",7.11741001984754,8.1287180731395,7.53636327777711,7.39280218486873,7.26508269643688,8.25209140374451,7.83246757679347,7.83910920114732,7.74343230854363,8.49487891472934,8.05809939220242,6.73921856033313,7.0158187347457,8.05686285524095,7.64873402817204,7.3632631160831,7.28812728394941,7.02829037185561
"CNOT10",4.37853194251653,5.36006616704061,5.26384229389688,4.50354215973626,5.24131191306886,5.36021140720314,5.43491776518441,5.95634895897102,6.08397532026753,5.61829667641723,5.30258171718099,4.9740870507861,5.23248474843688,5.35881333356731,5.64438673511876,4.84354955343711,4.68813684268808,5.38529318849668
"CNOT2",6.40536547557168,6.10320664142892,6.23952496719488,6.51312851059393,6.66911194408549,5.5759520246771,6.3233571352115,6.43475138713256,5.92863347981794,5.85917790300997,5.76721322139355,6.61368322547562,6.12022393700492,5.72545771569207,5.86925358723277,6.6949868315736,5.80178510863013,6.0685290857066
"CNOT3",5.94317885714024,5.29073072375289,5.42080339661881,5.53522298112834,5.58056202932052,5.81126646352475,5.75964897188831,5.42360500511879,5.65650825882926,5.91749299675636,6.005368336559,6.25299064929605,5.86239335234768,6.13033313567661,6.39962173722251,6.12515164297303,6.35443920918705,5.91740357211481
"CNOT4",4.97137512617729,4.77346020130297,4.61676857839451,4.89417405416474,4.85183510431348,4.75319229558032,4.79213633812265,5.06101078337141,4.41751653016936,4.98238717744552,5.27594376871544,4.74427122304608,5.04873714972783,4.83362181315426,4.59767466651352,4.85871291034581,5.14051118719275,4.30951717223933
"CNOT6",6.26444489479533,6.54318870324299,6.15641369302842,5.83207729405487,7.14492586543137,7.02313519153041,6.65112474981535,6.10674252085177,6.18095636209973,6.41913273552157,5.82771896479011,6.13852068166107,6.23132048187392,4.98684669643604,5.59463230483146,6.6817847433075,5.67517202038967,6.94390451550058
"CNOT6L",6.17620330946201,5.87589509355469,6.6508395315436,6.82202241529595,7.11914172776251,5.91135434119587,5.56803530695186,5.86860724569056,6.25612678380952,6.44498708590761,5.48092082979849,5.83407445815647,6.16735108481013,5.32502519254881,5.66452375079367,6.34028033469095,5.90762583126641,6.33345224077893
"CNOT7",6.83739731945695,6.88647413347151,6.44069851275056,7.11951016916164,7.68313515826983,6.12160379987849,6.97813785989993,6.68730784095126,7.4153434076071,7.07763842372225,6.42830741177818,6.67532272575085,6.22018895320539,6.13122209422307,7.15303926207989,6.54734729821651,6.73742408898916,7.20296931534428
"CNOT8",6.22410873614381,6.43551988936593,6.35045167563759,6.66946811892421,6.82918435511202,6.20197122059375,6.29765766933869,6.21743484498393,7.15585641245654,6.65123210121473,5.97575331386991,5.94058973978315,6.02382988219617,5.87623531035405,5.88246176102979,6.6024342687727,5.73824397202235,6.42345949643359
"CNP",7.07870425568863,6.04375922441235,7.03486872938283,6.81014878399251,6.87065025847554,7.16807987056606,6.69744090647161,6.24713319283188,6.80899232067725,7.09630601624889,7.03677444155105,6.45782846294967,6.85805480635618,7.82874376244679,6.97193405638457,6.85308801022419,7.73185762162001,7.17311435410505
"CNPPD1",6.04165470364111,5.27358235207334,6.19569074507058,6.10960933810036,5.17719326544315,5.42672494852413,6.09988186963836,5.90328129731395,5.81320995276984,5.6837633150642,6.51584730727135,6.01274368157573,6.19847538508551,6.38334303929062,6.29485039432789,5.47090343654022,6.30339720003522,5.96602070528786
"CNPY2",5.85965277867238,6.10805176961241,6.00568225982392,5.81201125600652,5.62694335817669,6.08231785368798,6.06853878554529,5.73468047351765,6.01996829063736,5.57852542562299,5.67533836024983,5.92464724925964,6.08909420742396,5.95466168832863,5.65981085378465,5.90180671266718,5.22946579573223,5.5643721530507
"CNPY3",6.02153690986671,6.13678572361046,6.56507723239674,5.92442328871334,5.25563412145356,5.2500468018007,5.94153844678599,4.87321701492649,5.05654808824778,5.51929819650735,5.71782625220716,6.04189164808633,5.40109531549176,6.20062063041464,5.69363559116308,5.51623422618368,5.76718428712559,5.48586587347265
"CNPY4",4.28433792554159,3.51975456920731,4.26212320833244,3.92674124841362,3.70934025387625,2.81233177114015,2.7199479612456,3.56194716670209,2.89795694613786,2.28267634791328,3.11132868408085,3.7850171608894,4.3117362396975,3.55602331270996,2.54854979568645,3.80892368891328,3.18812105833709,3.92841981293074
"CNR1",-0.952416443404727,-1.43827820274088,2.75798196750592,2.68703535257496,5.47084665370588,1.96041007638795,-3.04907467841142,-1.08542505691602,-0.593346528183458,1.01098703104886,0.0846057949320645,-1.80771598461986,1.73082125438113,-1.46237254564042,2.57882429266315,1.96466466512744,-3.31164665611226,3.41250131618572
"CNR2",-1.02933444776629,-1.43827820274088,1.8895523195824,1.61711309731593,-1.85567216429221,0.301601748779823,-3.04907467841142,-3.43846978242577,-3.40954153290115,-0.3939070117478,-0.459674406453241,-3.00072365227383,-0.316346858645378,-2.09934539369397,1.73455082290857,-1.00334425016772,-2.46725138694169,-3.53569544493044
"CNRIP1",2.74150590559549,0.0878703154284836,3.20350296212995,2.9191456651812,1.31423469398573,1.40722317665874,-0.805780874844933,2.43254062407563,0.976333433564884,0.95147314270735,0.921068359344319,-0.32210789676147,1.71278068675169,-0.255243772336781,1.85489286540155,0.49459317116453,-0.0862366477615719,2.61388223316294
"CNST",4.73020116834923,4.36219519257056,4.7324527398281,4.81716787246433,5.0491441141006,5.08743884181364,4.42890208563665,5.34169981585998,4.91654994422679,5.71809627729877,4.8661305388099,4.25217659616018,4.53606625176911,4.5037005842067,4.74734311499557,4.45746391435914,3.63682387389494,5.03086446814369
"CNTD1",0.914640547414643,3.4089457360371,1.19866261570176,0.495252641066928,3.84812700427857,4.20376956871938,2.6456063027319,1.07973411828479,2.86521362382192,0.514904067252576,2.18006102490126,1.60870372138987,2.32489512954356,3.09871810459238,1.80454167048365,3.36562170996985,1.20415277133323,4.12307115397681
"CNTD2",-3.12891021165339,-2.2187240138089,-2.0181598158452,-4.04322659709209,-2.35523472790473,1.39491252570677,-2.24423335201413,-2.68586198256382,0.61595651060833,-2.38862680962045,-1.68691283969127,-0.381274184335813,-0.648116301099362,1.28416090676035,-1.2080382744615,1.77876611186593,-2.82853413484381,-1.78183477965661
"CNTFR",-1.60403458386415,2.65644818192706,-1.61404789123725,-0.970603348775192,-1.85567216429221,0.427810600177059,-0.19615422955875,-2.19378292468468,-1.33941053408604,-3.19072078441402,-2.13746413923569,-2.6704431892332,-1.69835594622706,4.04159419720448,-1.2080382744615,-2.62793721656748,-2.46725138694169,-1.17054948657
"CNTLN",4.58454588143875,4.37297019411246,4.64771958659426,4.6119683897017,5.3738298332232,3.84958924436181,3.78115529199418,3.85115883339871,4.29502372236646,4.38162482620745,3.84144595425448,4.36223656212783,4.86695879241769,4.4871305498093,3.00017265622115,4.13929342885107,4.81674442087572,4.30205531133009
"CNTN1",4.47741481848149,-2.2187240138089,1.86868567708214,2.35588365125148,3.49842289260009,6.57230385458564,3.79059465202434,5.31103734215151,6.37486367382494,3.81108977701301,3.80751087643769,5.35218309008657,5.25291606761276,4.32875729148725,-0.844447569921014,5.94586068198018,2.9471292199487,1.34553769206342
"CNTN2",-1.11058547516231,-2.85994695097828,0.86109972106498,3.0374409990555,5.11571094445008,-1.41060057047421,-3.46216018210183,3.47035980457994,-2.97074621940763,-1.49878908103006,-1.44956382001118,-2.6704431892332,-1.69835594622706,-2.76601754474196,-2.43656965610206,-1.59811277546037,-3.31164665611226,6.66655761649984
