"","all_genes_used"
"753","GABARAPL2"
"754","DNAJC9"
"755","CCDC6"
"756","MOCS2"
"757","PBLD"
"758","FXR1"
"759","ARF5"
"760","SNRPC"
"761","LOC100505695"
"762","LOC100507173"
"763","MARK2P9"
"764","CPT2"
"765","UBE2S"
"766","PEX5L"
"767","CTHRC1"
"768","FTSJ1"
"769","C19orf18"
"770","BACH2"
"771","MRPL21"
"772","PCDHB5"
"773","EPC1"
"774","COL17A1"
"775","OPHN1"
"776","FAM135A"
"777","TBX18"
"778","RCSD1"
"779","SGCB"
"780","APOBEC3A"
"781","TIMM8A"
"782","NDUFS8"
"783","R3HDM1"
"784","LINC00494"
"785","ZFYVE1"
"786","MOB1B"
"787","RSC1A1"
"788","RAD23A"
"789","C4orf33"
"790","CRIP3"
"791","YDJC"
"792","NR6A1"
"793","PPAN"
"794","PHF21A"
"795","RFPL1-AS1"
"796","LY6G6E"
"797","ATP10B"
"798","CSRNP2"
"799","LOC100130000"
"800","AGT"
"801","FLRT3"
"802","TRAF6"
"803","FAM171A2"
"804","CRCT1"
"805","RADIL"
"806","TFDP2"
"807","RAD23B"
"808","TRIM29"
"809","ANKRD18A"
"810","DENND4C"
"811","CDK18"
"812","SF3B14"
"813","CCDC77"
"814","KCTD15"
"815","SLC37A4"
"816","EIF2AK4"
"817","CAT"
"818","CTSK"
"819","XRCC2"
"820","COL11A1"
"821","FAM65A"
"822","OIP5"
"823","HIST1H2BE"
"824","C9orf129"
"825","PITPNC1"
"826","CDT1"
"827","MAPK3"
"828","LOC100131733"
"829","GRIA1"
"830","RHBDL2"
"831","PTN"
"832","NACAD"
"833","PCDH11X"
"834","KCNN1"
"835","TCF7L2"
"836","FAM82A2"
"837","ABHD13"
"838","FAM55C"
"839","SF3B4"
"840","HEPH"
"841","EPHA1"
"842","CUL5"
"843","PRKCG"
"844","CYP26B1"
"845","BMP8B"
"846","YOD1"
"847","CAV1"
"848","KLHL13"
"849","C3orf15"
"850","RTBDN"
"851","CENPP"
"852","KCNJ10"
"853","MST4"
"854","CACNB2"
"855","ERP27"
"856","SCLT1"
"857","SH3BGRL2"
"858","MRAS"
"859","LINC00152"
"860","ATP6V1G1"
"861","MGAT1"
"862","FBXL22"
"863","SYNJ2"
"864","ARHGEF16"
"865","ZNF90"
"866","ZNF333"
"867","KRT13"
"868","ADAMTS12"
"869","KIAA1147"
"870","ZNF354C"
"871","RHOBTB1"
"872","C16orf91"
"873","CASC1"
"874","CAP2"
"875","TRAFD1"
"876","SLC7A7"
"877","APLF"
"878","TRAM1"
"879","LUM"
"880","INSL6"
"881","ARHGAP30"
"882","C6orf162"
"883","C17orf49"
"884","CCDC157"
"885","GCSH"
"886","ARPP19"
"887","RAB11FIP3"
"888","CDC42BPB"
"889","C5"
"890","SYN1"
"891","MINOS1"
"892","ZMAT2"
"893","AURKA"
"894","FLT3LG"
"895","TTC39C"
"896","CREB5"
"897","MRPL55"
"898","TPM3"
"899","PPFIA3"
"900","ACYP1"
"901","CHID1"
"902","CLEC14A"
"903","C15orf44"
"904","GALR2"
"905","DDX10"
"906","FLJ41200"
"907","ZNF682"
"908","GRIN3A"
"909","CCDC169"
"910","C3orf30"
"911","TMEM200A"
"912","PRMT1"
"913","ACSL1"
"914","COL11A2"
"915","SPRNP1"
"916","C20orf151"
"917","ATP11A"
"918","COPB1"
"919","CCNG2"
"920","F12"
"921","PRG4"
"922","MME"
"923","DNAJC13"
"924","EPB41L4B"
"925","PSMD12"
"926","NEU1"
"927","KY"
"928","PEBP4"
"929","KDM2B"
"930","MRGPRX3"
"931","MCF2L2"
"932","TMEM234"
"933","ZNF550"
"934","ZNF639"
"935","TPK1"
"936","C17orf82"
"937","ACSL3"
"938","LUC7L3"
"939","MERTK"
"940","RREB1"
"941","RSPO1"
"942","FUT1"
"943","ZNF627"
"944","NHS"
"945","KIF19"
"946","KLF2"
"947","MAP3K3"
"948","MPPED1"
"949","ASPA"
"950","LOC100506835"
"951","MICAL3"
"952","SLC24A4"
"953","DBT"
"954","ERLIN1"
"955","FKTN"
"956","UBB"
"957","CADPS"
"958","EP400"
"959","LBP"
"960","SHROOM4"
"961","PDSS1"
"962","DIO3OS"
"963","C18orf34"
"964","CAPN11"
"965","VOPP1"
"966","BTAF1"
"967","LOC645206"
"968","PDP1"
"969","PA2G4"
"970","UNC13A"
"971","CD7"
"972","C1orf54"
"973","SGSM1"
"974","TNFSF18"
"975","C19orf12"
"976","WBSCR16"
"977","RGL4"
"978","FAM22D"
"979","CHST12"
"980","VKORC1L1"
"981","ISOC1"
"982","PRTFDC1"
"983","FKBP1B"
"984","C8orf82"
"985","FAM165B"
"986","LCE2C"
"987","TRAF3"
"988","CHRNB2"
"989","PPIL6"
"990","CYP1B1-AS1"
"991","CCL25"
"992","HOGA1"
"993","SMG6"
"994","WNT11"
"995","BOK"
"996","HSF2BP"
"997","F13A1"
"998","ISYNA1"
"999","BRE"
"1000","CASR"
"1001","RTN4IP1"
"1002","CENPT"
"1003","RPS29"
"1004","SRGN"
"1005","LOC374443"
"1006","MXRA5"
"1007","LCT"
"1008","LOC100289211"
"1009","HIST2H2BF"
"1010","PLBD2"
"1011","FAM21B"
"1012","NPBWR1"
"1013","ABCD2"
"1014","PSMB2"
"1015","PGM5"
"1016","MGC4473"
"1017","NID1"
"1018","NPTXR"
"1019","ZNF142"
"1020","LOC100128946"
"1021","LRWD1"
"1022","NAT8L"
"1023","SNORA12"
"1024","RPL14"
"1025","CADM1"
"1026","OR2L13"
"1027","ECI1"
"1028","ZNF558"
"1029","HAND2"
"1030","IRF1"
"1031","DEPDC4"
"1032","CHMP1B"
"1033","CNOT10"
"1034","WWOX"
"1035","PUF60"
"1036","CIT"
"1037","HS3ST3A1"
"1038","C1orf96"
"1039","ANKRD49"
"1040","ACSF3"
"1041","UQCR11"
"1042","HAX1"
"1043","RASAL1"
"1044","LRRIQ1"
"1045","STARD7"
"1046","LIMCH1"
"1047","MIER3"
"1048","CD79A"
"1049","MFSD7"
"1050","ADCY1"
"1051","C12orf53"
"1052","HIC1"
"1053","FAM209B"
"1054","VNN3"
"1055","GGCT"
"1056","NOP56"
"1057","DENND2D"
"1058","LOC100128573"
"1059","WDR81"
"1060","GPR183"
"1061","TNFRSF17"
"1062","STBD1"
"1063","ARC"
"1064","HIST1H2BJ"
"1065","PTGES3"
"1066","AJUBA"
"1067","C7orf59"
"1068","HCCS"
"1069","TIPARP-AS1"
"1070","EFNA3"
"1071","POLE2"
"1072","ILDR2"
"1073","FCHO1"
"1074","LOC401093"
"1075","PLEKHA2"
"1076","POLR2F"
"1077","KRT85"
"1078","ZNF862"
"1079","RBFOX3"
"1080","LOC728024"
"1081","B3GNT3"
"1082","TRA2B"
