"","all_genes_used"
"6561","PDCL3"
"6562","NOL6"
"6563","PTDSS1"
"6564","LOC400684"
"6565","TIGD3"
"6566","CEMP1"
"6567","ASNA1"
"6568","C14orf55"
"6569","EMD"
"6570","NFIA"
"6571","C17orf100"
"6572","RNF219"
"6573","UQCRC2"
"6574","SERINC1"
"6575","KIAA2013"
"6576","RNF170"
"6577","GAL"
"6578","WAPAL"
"6579","CABP1"
"6580","LINC00176"
"6581","NUBPL"
"6582","ZFAND3"
"6583","CEACAM3"
"6584","CXXC4"
"6585","PIK3C2B"
"6586","OXR1"
"6587","RAB3GAP1"
"6588","SPC25"
"6589","ENTPD3-AS1"
"6590","TNIP3"
"6591","SMEK1"
"6592","PLOD1"
"6593","NSUN5P1"
"6594","ZNF717"
"6595","PRKAA2"
"6596","DTX4"
"6597","TFF3"
"6598","MCHR1"
"6599","DSCR3"
"6600","RHCE"
"6601","SAC3D1"
"6602","RPL27"
"6603","C17orf81"
"6604","C7orf25"
"6605","AGAP8"
"6606","SLC35C2"
"6607","NPY5R"
"6608","IDH2"
"6609","WNT10A"
"6610","YIPF7"
"6611","PI3"
"6612","PLAG1"
"6613","HOPX"
"6614","ARV1"
"6615","REREP3"
"6616","ALDH3B1"
"6617","RPL23AP53"
"6618","ERP29"
"6619","FBXW4P1"
"6620","CYP2F1"
"6621","PRPF38A"
"6622","LCE3A"
"6623","SET"
"6624","ABAT"
"6625","OTUD1"
"6626","ZNF790"
"6627","ATP6V0E2"
"6628","TMEM126B"
"6629","GAPVD1"
"6630","DKFZP564C196"
"6631","PIN1"
"6632","ACO2"
"6633","LRRC10B"
"6634","ADAM33"
"6635","SLC38A10"
"6636","HOXA2"
"6637","DNM1L"
"6638","GAMT"
"6639","ESYT2"
"6640","SLC25A14"
"6641","IMPAD1"
"6642","KIAA1279"
"6643","TAF5L"
"6644","COMMD9"
"6645","MUC5B"
"6646","FAM76A"
"6647","C16orf48"
"6648","LCMT1"
"6649","ILDR1"
"6650","TSPAN15"
"6651","C1orf68"
"6652","CREM"
"6653","LOC100129917"
"6654","C9orf163"
"6655","CSTF2T"
"6656","NXF3"
"6657","KCNS1"
"6658","REP15"
"6659","CXorf48"
"6660","DYRK1B"
"6661","TCN2"
"6662","AGR3"
"6663","TOR1AIP1"
"6664","HOXA11"
"6665","PRR14"
"6666","TADA2B"
"6667","PDE11A"
"6668","RSF1"
"6669","THAP3"
"6670","BOD1"
"6671","POMGNT1"
"6672","FXYD5"
"6673","CYP2C19"
"6674","CPA3"
"6675","ZFP36"
"6676","HOXD-AS2"
"6677","LOC389906"
"6678","RBM23"
"6679","C14orf132"
"6680","PGPEP1L"
"6681","TMEM81"
"6682","SPTLC1"
"6683","FABP7"
"6684","GLYCTK"
"6685","CCNI2"
"6686","DNAJC4"
"6687","KRTAP5-1"
"6688","MYPN"
"6689","RPL3"
"6690","SERPINA5"
"6691","RPS20"
"6692","TP53I3"
"6693","TREX2"
"6694","HSPA8"
"6695","PWP1"
"6696","CCT7"
"6697","GAGE2E"
"6698","LHFPL1"
"6699","UNC50"
"6700","CGGBP1"
"6701","DCDC2B"
"6702","CISD2"
"6703","EPB49"
"6704","AMDHD1"
"6705","PPAPDC2"
"6706","TH"
"6707","CCBL1"
"6708","PMEL"
"6709","ZSCAN20"
"6710","MAN1A2"
"6711","MFI2-AS1"
"6712","POLG"
"6713","TLX1NB"
"6714","LOC100506472"
"6715","TADA3"
"6716","CCDC129"
"6717","PTH1R"
"6718","LSM11"
"6719","NPAS1"
"6720","CKAP4"
"6721","TMEM132C"
"6722","FRY"
"6723","LARGE"
"6724","USP35"
"6725","CD300C"
"6726","SLC30A6"
"6727","LOC100507034"
"6728","MPV17L2"
"6729","GLUL"
"6730","C17orf28"
"6731","AHDC1"
"6732","RNASE10"
"6733","MTM1"
"6734","PTPN6"
"6735","HECTD2"
"6736","CSK"
"6737","PON3"
"6738","SLC10A7"
"6739","CTSD"
"6740","LRRC34"
"6741","CDKL1"
"6742","RASA1"
"6743","RXFP4"
"6744","FASTKD1"
"6745","NTAN1"
"6746","LOC440288"
"6747","TCF12"
"6748","TRIB3"
"6749","RPS8"
"6750","LOC283050"
"6751","KIAA1467"
"6752","ZNF502"
"6753","TBC1D9"
"6754","HBQ1"
"6755","HIATL2"
"6756","CLN6"
"6757","CYB5D2"
"6758","CUL9"
"6759","TRAP1"
"6760","PLIN5"
"6761","URM1"
"6762","PHF8"
"6763","PPP2R5D"
"6764","NOL12"
"6765","LOC100130581"
"6766","TNFAIP1"
"6767","KRT83"
"6768","ZFHX3"
"6769","LDLRAP1"
"6770","SPTLC3"
"6771","PRKCQ"
"6772","PVRL2"
"6773","IQSEC2"
"6774","CPNE7"
"6775","CHST9"
"6776","LIPM"
"6777","TMEM68"
"6778","UCKL1-AS1"
"6779","GPR37"
"6780","RNF40"
"6781","CSNK1G1"
"6782","SERPINA1"
"6783","LOC728723"
"6784","CA6"
"6785","WDR25"
"6786","MYH1"
"6787","LOC643723"
"6788","EIF3F"
"6789","KLB"
"6790","ZNF584"
"6791","CACNA2D1"
"6792","ABHD16A"
"6793","DDX50"
"6794","LOC339240"
"6795","LMNB2"
"6796","LRFN2"
"6797","GRAPL"
"6798","ALDH1L1"
"6799","SCARA3"
"6800","BDH2"
"6801","CLEC9A"
"6802","MAP4K5"
"6803","ZNF570"
"6804","WDR46"
"6805","C2orf56"
"6806","ZNF329"
"6807","CEP41"
"6808","PSMD5"
"6809","PM20D1"
"6810","FMN1"
"6811","CHORDC1"
"6812","LOC100130894"
"6813","RAB5B"
"6814","CXorf22"
"6815","CCL27"
"6816","CA9"
"6817","TADA1"
"6818","OBFC1"
"6819","LOC100505826"
"6820","TRAF4"
"6821","KIAA1797"
"6822","CLEC3B"
"6823","ZBTB6"
"6824","SPATC1"
"6825","POMC"
"6826","HIVEP2"
"6827","PITPNM3"
"6828","DIRAS1"
"6829","PKD1"
"6830","BAMBI"
"6831","RBM5"
"6832","CCDC42B"
"6833","PRPF6"
"6834","FCGR1C"
"6835","TMEM171"
"6836","GDPD1"
"6837","NGDN"
"6838","POLG2"
"6839","NFKBID"
"6840","SDCCAG8"
"6841","NDNL2"
"6842","ACTC1"
"6843","LCORL"
"6844","ZNF785"
"6845","FLJ31306"
"6846","ZCCHC10"
"6847","GAS2L1"
"6848","PLXNB3"
"6849","OOEP"
"6850","FNTB"
"6851","TMPRSS11B"
"6852","NFX1"
"6853","FUNDC1"
"6854","C10orf140"
"6855","GINS1"
"6856","USP37"
"6857","CYP4F12"
"6858","RXRA"
"6859","TUBB8"
"6860","GPER"
"6861","OR51B5"
"6862","PRDX2"
"6863","HIST1H2BN"
"6864","CENPC1"
"6865","TYW5"
"6866","RNF26"
"6867","FUBP1"
"6868","CLPSL1"
"6869","ASPN"
"6870","EIF5AL1"
"6871","PSG5"
"6872","SGTA"
"6873","ADCY3"
"6874","ALG1"
"6875","NOL11"
"6876","DLK1"
"6877","MTG1"
"6878","SUZ12P"
"6879","ZP1"
"6880","GGT3P"
"6881","STMN1"
"6882","SPIN4"
"6883","RLN1"
"6884","LOC728407"
"6885","CDV3"
"6886","SPCS3"
"6887","EMX1"
"6888","PLAC8L1"
"6889","RAD17"
"6890","C11orf85"
"6891","PRMT2"
"6892","FAM53C"
"6893","QPCT"
"6894","CCBP2"
"6895","SMC1A"
"6896","SFT2D3"
"6897","PARD6B"
"6898","SCT"
"6899","CP"
"6900","SEPHS2"
"6901","ADCK4"
"6902","NUMBL"
"6903","RPL15"
"6904","SLC4A11"
"6905","YTHDC2"
"6906","VPS18"
"6907","RSPH3"
"6908","MYL12A"
"6909","ZNF91"
"6910","MCPH1"
"6911","PTP4A2"
"6912","CBR3"
"6913","HRNR"
"6914","ANO1"
"6915","ZC3HC1"
"6916","RCAN3"
"6917","ASB13"
"6918","PCDHGB4"
"6919","CAHM"
"6920","PEG3"
"6921","NRD1"
"6922","SPINK7"
"6923","NAA11"
"6924","KLF12"
"6925","ZNF326"
"6926","TBC1D19"
"6927","SUMO4"
"6928","SHMT1"
"6929","EXTL2"
"6930","DUSP15"
"6931","ACRBP"
"6932","GJA9-MYCBP"
"6933","GCLC"
"6934","SLC35E1"
"6935","HOXA13"
"6936","DUSP6"
"6937","HIST3H2A"
"6938","MKRN2"
"6939","EXOC3L1"
"6940","FAM166B"
"6941","LMOD2"
"6942","CPD"
"6943","MAU2"
"6944","COQ10B"
"6945","SLC25A34"
"6946","DENND1B"
"6947","RBL1"
"6948","EML6"
"6949","LOC100506963"
"6950","CPNE3"
"6951","ARRDC2"
"6952","FBXW11"
"6953","CEP104"
"6954","DCUN1D2"
"6955","CAMSAP2"
"6956","UBXN1"
"6957","TMEM43"
"6958","FAM66B"
"6959","UBXN6"
"6960","COMT"
"6961","DCST2"
"6962","SYT16"
"6963","JMJD5"
"6964","LDHA"
"6965","UCKL1"
"6966","MET"
"6967","USP27X"
"6968","ZNF131"
"6969","PITX3"
"6970","LSP1"
"6971","RASSF9"
"6972","SYT2"
"6973","ELAC1"
"6974","CCP110"
"6975","ALS2CR8"
"6976","HRC"
"6977","CBFB"
"6978","THNSL1"
"6979","ZNF236"
"6980","POLR3C"
"6981","SULT1A1"
"6982","ZNF416"
"6983","TMED9"
"6984","LPHN3"
"6985","C3orf62"
"6986","C1orf50"
"6987","APP"
"6988","ZNF845"
"6989","MT1A"
"6990","ZNF821"
"6991","TOX4"
"6992","LRRC8D"
"6993","POLR3A"
"6994","C19orf55"
"6995","HDGFRP3"
"6996","HARBI1"
"6997","SPTBN2"
"6998","ACTR3"
"6999","AZI1"
"7000","LOC100505865"
"7001","NANOS3"
"7002","LHX2"
"7003","NUP205"
"7004","IL17RC"
"7005","SSRP1"
"7006","C6orf120"
"7007","ATRNL1"
"7008","NDUFB8"
"7009","WDFY1"
"7010","CDHR5"
"7011","C7orf55"
"7012","MTDH"
"7013","ASNSD1"
"7014","UNC13B"
"7015","FAM201A"
"7016","JPX"
"7017","PECR"
"7018","CTPS"
"7019","VN1R1"
"7020","GRIK1-AS2"
"7021","PPP2R1A"
"7022","ACCN2"
"7023","ANKRD5"
"7024","PLA2G2F"
"7025","HNRPDL"
"7026","MED1"
"7027","SKAP1"
"7028","KAT5"
"7029","ZNHIT3"
"7030","FBXL20"
"7031","CRIPT"
"7032","SLC34A3"
"7033","PLAU"
"7034","C6orf115"
"7035","LINC00467"
"7036","PTTG1"
"7037","MDC1"
"7038","THAP7"
"7039","CLPTM1"
"7040","C10orf111"
"7041","BLM"
"7042","C11orf87"
"7043","MEF2D"
"7044","PCSK1N"
"7045","SYTL5"
"7046","TAF2"
"7047","MIOS"
"7048","AIFM2"
"7049","PUS3"
"7050","LOC100507462"
"7051","FLJ45340"
"7052","SERPINA9"
"7053","TAS1R1"
"7054","MMEL1"
"7055","SDC4"
"7056","ZNF18"
"7057","DEPDC5"
"7058","RAD54L"
"7059","NDUFA4"
"7060","SNHG11"
"7061","ASH2L"
"7062","KCNS3"
"7063","IPO11"
"7064","ALPL"
"7065","MAGEA10"
"7066","TGDS"
"7067","NT5E"
"7068","SNAP47"
"7069","GADD45A"
"7070","KIFC2"
"7071","DHPS"
"7072","FEN1"
"7073","ADNP"
"7074","SAFB"
"7075","SLC5A5"
"7076","PSME2"
"7077","LOC100631378"
"7078","PAR5"
"7079","BMPR1A"
"7080","UTS2"
"7081","JRK"
"7082","PTCD1"
"7083","ZNF530"
"7084","SFSWAP"
"7085","FBXL6"
"7086","FEZ1"
"7087","FANCD2"
"7088","TPP1"
"7089","FANCC"
"7090","P4HA3"
"7091","C10orf76"
"7092","TRUB1"
"7093","REST"
"7094","ELMOD2"
"7095","TRERF1"
"7096","SOAT2"
"7097","PDIK1L"
"7098","ZFP1"
"7099","SURF2"
"7100","MPDU1"
"7101","HRAS"
"7102","DNAJB2"
"7103","LINC00263"
"7104","SEC22B"
"7105","CCL8"
"7106","GDF9"
"7107","ATG4A"
"7108","VDAC3"
"7109","ST6GAL2"
"7110","NAT9"
"7111","SOX7"
"7112","LURAP1L"
"7113","KLHL24"
"7114","HS3ST2"
"7115","PPIE"
"7116","C21orf7"
"7117","SLC28A2"
"7118","ZBTB41"
"7119","PFN1"
"7120","HDAC6"
"7121","C1orf64"
"7122","CCL14"
"7123","CHAC2"
"7124","TMEM194B"
"7125","DGCR6"
"7126","TRIM67"
"7127","SERTAD4"
"7128","LOC100505854"
"7129","LINC00482"
"7130","LGALS3"
"7131","WDR48"
"7132","FLRT1"
"7133","JUND"
"7134","RUNDC3B"
"7135","XDH"
"7136","MAB21L3"
"7137","FAM185A"
"7138","INTS1"
"7139","TTC31"
"7140","ZDHHC6"
"7141","PSD4"
"7142","CDK8"
"7143","ZNF79"
"7144","TSNAX"
"7145","ACVR1B"
"7146","MANEAL"
"7147","RBM34"
"7148","NUF2"
"7149","FAM129A"
"7150","IGF2BP1"
"7151","ZNF497"
"7152","POLR3E"
"7153","IK"
"7154","LAMTOR1"
"7155","NEAT1"
"7156","EFCAB2"
"7157","TPGS2"
"7158","SPCS2"
"7159","SLC4A1AP"
"7160","RAB19"
"7161","ZKSCAN3"
"7162","SIRT2"
"7163","ZNF434"
"7164","PIAS2"
"7165","LOC100128822"
"7166","ZNF34"
"7167","LOC100288077"
"7168","AXDND1"
"7169","FREM1"
"7170","RASIP1"
"7171","LPCAT2"
"7172","SEPT5-GP1BB"
"7173","ZRANB3"
"7174","KIF2A"
"7175","NUDT6"
"7176","TMEM167B"
"7177","SCLY"
"7178","STAG3L1"
"7179","APITD1"
"7180","PAIP1"
"7181","HSPB8"
"7182","ARNTL2"
"7183","TP53AIP1"
"7184","FEM1A"
"7185","SCN3A"
"7186","KIAA0196"
"7187","EMX2OS"
"7188","PHF17"
"7189","ANKRD50"
"7190","HS6ST1"
"7191","CYP26A1"
"7192","SESN3"
"7193","TRAIP"
"7194","MYH7B"
"7195","GABPB2"
"7196","EDN2"
"7197","UBTD2"
"7198","SLC25A32"
"7199","GNG10"
"7200","CCDC60"
"7201","TAS2R14"
"7202","AOC2"
"7203","ATP1B4"
"7204","DCUN1D5"
"7205","HINT3"
"7206","SPRR2G"
"7207","CUTA"
"7208","ANKRD34B"
"7209","UBQLN2"
"7210","CUL2"
"7211","RIF1"
"7212","VPS41"
"7213","DIRC3"
"7214","CACNB4"
"7215","LHFPL3"
"7216","GUF1"
"7217","EIF2B3"
"7218","USF1"
"7219","PLA2G4A"
"7220","TNIP2"
"7221","ZNF836"
"7222","FBLL1"
"7223","FAAH"
"7224","TMEM215"
"7225","MUC2"
"7226","DUSP5"
"7227","CYB5D1"
"7228","PPP2R3C"
"7229","ARL17A"
"7230","GTF3A"
"7231","CASC4"
"7232","KIF9"
"7233","SLC17A5"
"7234","KIAA0391"
"7235","PTHLH"
"7236","C16orf72"
"7237","TASP1"
"7238","SCG5"
"7239","RAB13"
"7240","MAML1"
"7241","TBC1D22A"
"7242","GMIP"
"7243","ANAPC16"
"7244","TRIM45"
"7245","LINC00115"
"7246","C3orf33"
"7247","MIB2"
"7248","UBE2K"
"7249","APC"
"7250","SPIN3"
"7251","LOC285758"
"7252","CCDC151"
"7253","ZNF83"
"7254","ANKIB1"
"7255","CTBS"
"7256","AGAP5"
"7257","DSTNP2"
"7258","RRS1"
"7259","LOC100233156"
"7260","ADSL"
"7261","HOMEZ"
"7262","THUMPD3"
"7263","GDAP2"
"7264","CENPL"
"7265","IPO13"
"7266","TTTY14"
"7267","C2orf72"
"7268","CAPN9"
"7269","STRN"
"7270","COL6A5"
"7271","DNPEP"
"7272","GALNTL2"
"7273","C12orf60"
"7274","TMED4"
"7275","GALNT12"
"7276","SEMA3B"
"7277","GPR75"
"7278","DHX40"
"7279","DNAJC30"
"7280","ZMYM2"
"7281","TOMM34"
"7282","TTBK1"
"7283","NLRP6"
"7284","CCDC84"
"7285","C19orf25"
"7286","FGF12"
"7287","MALT1"
"7288","SLC25A11"
"7289","RPUSD1"
"7290","CSNK1D"
"7291","MLF2"
"7292","CD276"
"7293","ATXN7L2"
"7294","RNF24"
"7295","OR2B6"
"7296","ITPKA"
"7297","MTOR"
"7298","FXN"
"7299","TYROBP"
"7300","WFDC1"
"7301","RABGGTB"
"7302","NUP153"
"7303","LOC729513"
"7304","LPPR2"
"7305","PES1"
"7306","STYX"
"7307","MIR600HG"
"7308","GTF2E2"
"7309","TMEM87A"
"7310","SENP8"
"7311","SNX11"
"7312","PILRB"
"7313","POP4"
"7314","TSKU"
"7315","MED28"
"7316","NFYB"
"7317","ANGEL2"
"7318","SAP18"
"7319","SRSF2"
"7320","LOC100505666"
"7321","LOC100133286"
"7322","LNPEP"
"7323","BCDIN3D"
"7324","CORO7"
"7325","HDGFRP2"
"7326","NRG1"
"7327","WNT3"
"7328","KIF2C"
"7329","SRI"
"7330","WDR37"
"7331","ROS1"
"7332","CCM2"
"7333","SYNC"
"7334","CENPM"
"7335","PRSS53"
"7336","ADAM11"
"7337","NMUR1"
"7338","PTBP1"
"7339","CDC27"
"7340","CASP10"
"7341","PPCDC"
"7342","SKIV2L"
"7343","LOC646278"
"7344","DTNBP1"
"7345","AKAP3"
"7346","LRRC70"
"7347","BTG2"
"7348","ASGR1"
"7349","PRMT6"
"7350","CSNK1G3"
"7351","NPAS4"
"7352","MYH9"
"7353","CRABP1"
"7354","LOC643650"
"7355","HRASLS2"
"7356","ARFIP1"
"7357","MAGOHB"
"7358","LDHAL6B"
"7359","RPE"
"7360","INO80"
"7361","SUCLA2"
"7362","EIF2B1"
"7363","ANGPTL4"
"7364","NBPF10"
"7365","FCHO2"
"7366","AFAP1L1"
"7367","POM121L4P"
"7368","FFAR3"
"7369","DDX42"
"7370","PCNP"
"7371","SMAD1"
"7372","HDAC7"
"7373","CLYBL"
"7374","CCDC122"
"7375","TNFRSF1A"
"7376","RFX1"
"7377","PCDHGB1"
"7378","NCCRP1"
"7379","MRPL42"
"7380","GABPB1"
"7381","INTS7"
"7382","THUMPD2"
"7383","C15orf61"
"7384","KLHL25"
"7385","TNN"
"7386","CXXC1"
"7387","NDUFAF1"
"7388","POLR2J4"
"7389","LOC100507424"
"7390","LOC648987"
"7391","GCNT2"
"7392","HBA2"
"7393","RANGRF"
"7394","RHBDD2"
"7395","SQSTM1"
"7396","DCAF6"
"7397","CASC5"
"7398","TMEM125"
"7399","ZNF561"
"7400","KLK5"
"7401","CREB1"
"7402","BORA"
"7403","AGAP3"
"7404","SETD5"
"7405","PLB1"
"7406","MCM3"
"7407","C1orf123"
"7408","PIGZ"
"7409","LOC100335030"
"7410","FAM91A2"
"7411","SNX32"
"7412","METTL14"
"7413","GNMT"
"7414","EEF1A2"
"7415","DOLK"
"7416","LOC100506462"
"7417","BNIP2"
"7418","BBS9"
"7419","EHBP1"
"7420","C1orf162"
"7421","CTU1"
"7422","HOXD3"
"7423","PRKX"
"7424","SERGEF"
"7425","SLC16A5"
"7426","MGAT5B"
"7427","SLC25A24"
"7428","KLF10"
"7429","SERINC3"
"7430","BNIP3L"
"7431","LOC100288432"
"7432","LGALSL"
"7433","HERPUD2"
"7434","ENTPD3"
"7435","TBKBP1"
"7436","SECTM1"
"7437","IKBIP"
"7438","CHST4"
"7439","LOC647979"
"7440","ACOT1"
"7441","SHKBP1"
"7442","MPPE1"
"7443","SATB2"
"7444","LINC00338"
"7445","ORC4"
"7446","SLC20A1"
"7447","ZNF784"
"7448","MTBP"
"7449","APOC1"
"7450","CUL4A"
"7451","ANKS1A"
"7452","SLC46A2"
"7453","ETV3"
"7454","LAMP2"
"7455","DYRK1A"
"7456","LEPROT"
"7457","HAUS4"
"7458","AFAP1-AS1"
"7459","POTEH"
"7460","KIAA1324L"
"7461","HOMER1"
"7462","NCAPH2"
"7463","IRGQ"
"7464","LOC100507127"
"7465","JPH3"
"7466","CYLD"
"7467","AQP5"
"7468","SPTBN5"
"7469","SAP130"
"7470","GRM8"
"7471","BET1"
"7472","LOC730227"
"7473","MRFAP1"
"7474","ATP6V1E1"
"7475","TMPRSS2"
"7476","RNASEH2C"
"7477","LENG1"
"7478","LRRC26"
"7479","LOC440434"
"7480","PCDHGA4"
"7481","ZNF578"
"7482","USP2"
"7483","TMEM129"
"7484","CLIC6"
"7485","SETMAR"
"7486","FMO2"
"7487","HCG4"
"7488","ETS2"
"7489","PQLC3"
"7490","EPB41L3"
"7491","DNMT3B"
"7492","PIGR"
"7493","STK40"
"7494","CLN3"
"7495","MAPK8IP3"
"7496","LRAT"
"7497","PRPSAP1"
"7498","PSMF1"
"7499","KCND2"
"7500","BCO2"
"7501","CCL20"
"7502","GHDC"
"7503","GNA11"
"7504","CDKN1C"
"7505","SV2A"
"7506","ZNF280C"
"7507","PTAFR"
"7508","POM121C"
"7509","LOC100132832"
"7510","INTS5"
"7511","PDIA3P"
"7512","ZNF697"
"7513","DDX43"
"7514","KCNMB3"
"7515","IQCA1"
"7516","GHR"
"7517","ERG"
"7518","PEPD"
"7519","SLCO1A2"
"7520","HSF5"
"7521","ALDH3A2"
"7522","MCFD2"
"7523","LOC284581"
"7524","GPR62"
"7525","CSTF3"
"7526","SYP"
"7527","DDX1"
"7528","PRKCSH"
"7529","MLLT4"
"7530","SPPL2A"
"7531","RPL38"
"7532","LOC283089"
"7533","ULBP1"
"7534","LAS1L"
"7535","TMEM39B"
"7536","LOC647946"
"7537","SEC63"
"7538","CBFA2T3"
"7539","SPA17"
"7540","LIAS"
"7541","STAMBP"
"7542","ELP3"
"7543","CST2"
"7544","LOC652276"
"7545","PRR24"
"7546","MAN2A1"
"7547","ERCC6"
"7548","DBN1"
"7549","SVOPL"
"7550","FAM131C"
"7551","PXMP4"
"7552","CHCHD4"
"7553","STK24"
"7554","INPP4B"
"7555","UBE2Q1"
"7556","ACER1"
"7557","ISCA1"
"7558","STK32C"
"7559","ERC1"
"7560","NIPA1"
"7561","C1orf124"
"7562","HMMR"
"7563","ALG6"
"7564","AREG"
"7565","YAF2"
"7566","PLA2G4B"
"7567","LOC100507266"
"7568","LOC100287015"
"7569","RLIM"
"7570","LTN1"
"7571","C9orf84"
"7572","ZNFX1"
"7573","IDI2"
"7574","TM6SF2"
"7575","SNRNP40"
"7576","IGSF23"
"7577","ERVV-1"
"7578","SCAMP1"
"7579","CSAG1"
"7580","RPS6KB1"
"7581","CDK6"
"7582","IMP4"
"7583","ZNF654"
"7584","GPR172B"
"7585","SMARCA4"
"7586","PRPF31"
"7587","NAT1"
"7588","RAB23"
"7589","KIAA0528"
"7590","SYPL2"
"7591","PGAM2"
"7592","ZNF35"
"7593","TREM2"
"7594","SH3BP1"
"7595","IPO9"
"7596","ANGEL1"
"7597","SP6"
"7598","LINC00202"
"7599","DRG1"
"7600","CCDC96"
"7601","OTUD5"
"7602","PNRC2"
"7603","SRCIN1"
"7604","GPBAR1"
"7605","PLAC8"
"7606","ZNF526"
"7607","WNK3"
"7608","USP39"
"7609","C3orf75"
"7610","PPARA"
"7611","NOD1"
"7612","MSL2"
"7613","LOC100506207"
"7614","NPIP"
"7615","DTX2P1-UPK3BP1-PMS2P11"
"7616","SGK3"
"7617","WTAP"
"7618","PLCXD2"
"7619","KIAA1217"
"7620","RBM22"
"7621","DRAP1"
"7622","FBXO30"
"7623","STK11IP"
"7624","H2AFY"
"7625","TEX101"
"7626","MINPP1"
"7627","TMEM9"
"7628","PPP3CC"
"7629","SPTBN1"
"7630","ARL2BP"
"7631","APPBP2"
"7632","HCFC1"
"7633","RELL2"
"7634","NUP62CL"
"7635","HSD17B4"
"7636","NRAS"
"7637","UBE2J2"
"7638","C5orf62"
"7639","ZCRB1"
"7640","ATRIP"
"7641","SMPX"
"7642","CTSA"
"7643","MSH2"
"7644","PDE3B"
"7645","MMRN1"
"7646","KLHDC2"
"7647","TMEM50A"
"7648","MLST8"
"7649","DMXL2"
"7650","TSEN2"
"7651","C9orf142"
"7652","CNEP1R1"
"7653","DAK"
"7654","FAM177A1"
"7655","MFSD3"
"7656","TXNIP"
"7657","DNAJC16"
"7658","TNPO2"
"7659","SLC9A2"
"7660","PP7080"
"7661","LINC00265"
"7662","ZNF304"
"7663","FAM86A"
"7664","RAD18"
"7665","LRRC3"
"7666","TEX19"
"7667","LGR4"
"7668","LOC143666"
"7669","ARHGEF1"
"7670","SLC7A8"
"7671","C6orf226"
"7672","PHKA1"
"7673","EZH2"
"7674","HRCT1"
"7675","EIF2B2"
"7676","RPL3L"
"7677","PMFBP1"
"7678","AZIN1"
"7679","ADAMTS1"
"7680","CHRNG"
"7681","IER2"
"7682","MRPS14"
"7683","H1F0"
"7684","DOC2A"
"7685","PHF14"
"7686","MZT1"
"7687","GRHPR"
"7688","NDRG2"
"7689","MEGF9"
"7690","G3BP1"
"7691","SKA1"
"7692","C19orf29-AS1"
"7693","MAGEA11"
"7694","DUSP18"
"7695","PPP1R14A"
"7696","RPL13AP20"
"7697","CCDC114"
"7698","TBCC"
"7699","EIF3L"
"7700","BTG1"
"7701","VWA5A"
"7702","APOL4"
"7703","IRX4"
"7704","LOC147646"
"7705","CDRT15P1"
"7706","NDUFC2"
"7707","ZNF738"
"7708","AICDA"
"7709","LOC387646"
"7710","CIAO1"
"7711","CDKN2AIPNL"
"7712","RALGPS2"
"7713","SLC22A11"
"7714","RAB27A"
"7715","KIF5A"
"7716","FOXN2"
"7717","ANKRD13C"
"7718","GRIPAP1"
"7719","LOC339524"
"7720","SEMA4A"
"7721","NCBP1"
"7722","SIGLEC1"
"7723","HMBS"
"7724","TNFRSF10D"
"7725","LOC338758"
"7726","STARD5"
"7727","LOC401074"
"7728","KIF11"
"7729","C8orf51"
"7730","AHCY"
"7731","NSUN5"
"7732","CASP14"
"7733","SULT1A2"
"7734","C20orf7"
"7735","PAX8"
"7736","GPC4"
"7737","DMBT1"
"7738","MPP3"
"7739","LOC100129722"
"7740","UTS2D"
"7741","PSMC6"
"7742","MID1IP1"
"7743","SLC35D2"
"7744","LILRB3"
"7745","MT1L"
"7746","TFAP2A"
"7747","CYBASC3"
"7748","CD177"
"7749","REPS1"
"7750","FOXD3"
"7751","SLC1A1"
"7752","CLIP1"
"7753","MCM5"
"7754","DSCR6"
"7755","PPFIBP1"
"7756","DGCR8"
"7757","RAB33B"
"7758","TGFB1"
"7759","ABCC6P2"
"7760","ProSAPiP1"
"7761","SPG7"
"7762","CDAN1"
"7763","SSSCA1"
"7764","SUDS3"
"7765","DNAJB9"
"7766","CDH4"
"7767","PCSK5"
"7768","FLJ14186"
"7769","ZNF223"
"7770","SAMD4B"
"7771","AEN"
"7772","PIK3IP1"
"7773","BMP4"
"7774","TMPO"
"7775","SFXN2"
"7776","NSUN5P2"
"7777","PMPCB"
"7778","SRP54"
"7779","APOL2"
"7780","RAB5C"
"7781","OST4"
"7782","MYLK-AS1"
"7783","UCN2"
"7784","SHE"
"7785","SOX12"
"7786","C12orf66"
"7787","ARHGEF38"
"7788","EIF1AY"
"7789","ZNF14"
"7790","ANAPC4"
"7791","ST7L"
"7792","HOXD11"
"7793","LINC00536"
"7794","HEXA"
"7795","ASPH"
"7796","INO80E"
"7797","USP32"
"7798","HOXB7"
"7799","DTHD1"
"7800","KIAA1919"
"7801","NCS1"
"7802","SMEK2"
"7803","USP4"
"7804","IVNS1ABP"
"7805","PROZ"
"7806","LRRC56"
"7807","DERL2"
"7808","DGCR10"
"7809","C11orf80"
"7810","STAU1"
"7811","PTPN9"
"7812","CA5BP1"
"7813","C13orf15"
"7814","SKAP2"
"7815","ZNF709"
"7816","ING3"
"7817","LPCAT3"
"7818","PLEKHA6"
"7819","DNAJA1"
"7820","GUSB"
"7821","DTX3"
"7822","ZBTB38"
"7823","LOC100130522"
"7824","MTCP1NB"
"7825","TSLP"
"7826","STK3"
"7827","WWP2"
"7828","ZMPSTE24"
"7829","TRAK2"
"7830","TTC13"
