"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9","symbol"
"2763",8734,6177,7745,6524,5073,17775,14718,18344,8722,34610,19523,4507,5896,6730,7621,5121,9628,6513,"CAPN2"
"2764",643,75,527,443,324,522,317,144,99,170,902,383,352,526,588,310,951,478,"CAPN3"
"2765",214,119,322,288,105,52,242,326,105,127,135,32,66,49,590,47,54,379,"CAPN5"
"2766",611,1,291,180,990,31,0,307,24,6,9,1,1,1,42,200,1,735,"CAPN6"
"2767",1492,397,1520,948,1907,1216,1406,1952,2069,3709,1480,925,1073,777,919,1449,619,1656,"CAPN7"
"2768",21,0,10,3,4,0,2,3,3,7,5,0,4,0,3,7,24,4,"CAPN8"
"2769",5,1,8,100,0,17,1,7,6,0,1,36,0,0,11,1,1,1,"CAPN9"
"2770",12379,5490,9057,7352,6243,22301,11995,13656,13952,17035,10588,10443,8152,9416,9444,9052,14586,6412,"CAPNS1"
"2771",103,473,421,903,49,3893,534,3147,1826,1640,642,97,10,1703,863,5,349,59,"CAPNS2"
"2772",10982,3484,9498,12388,12888,6879,9232,7770,5647,18319,7247,6532,6085,3307,4002,9000,4780,22192,"CAPRIN1"
"2773",705,141,661,649,1329,259,115,470,122,289,440,537,712,196,363,1317,299,808,"CAPRIN2"
"2774",480,53,563,501,297,512,479,380,2277,400,923,968,476,559,1179,477,625,274,"CAPS"
"2775",21,5,31,18,32,4,1,23,38,35,18,5,15,7,10,41,5,17,"CAPS2"
"2776",1,0,0,2,0,0,0,2,0,1,0,1,2,0,1,9,0,0,"CAPSL"
"2777",10882,3979,11232,9218,9203,14619,14885,7539,10868,32003,12148,5895,6082,4130,8572,6301,10901,8893,"CAPZA1"
"2778",3210,1609,4002,3804,4231,2437,3360,4724,4140,5983,3012,1721,1953,1269,1250,2027,2776,3448,"CAPZA2"
"2779",0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,3,1,"CAPZA3"
"2780",10764,3221,11368,9056,8699,10716,9226,7939,9702,17389,9787,5826,7348,5084,7428,5588,6649,6918,"CAPZB"
"2781",981,157,425,358,319,1905,2159,693,2132,4192,1368,337,889,2470,193,415,7895,138,"CARD10"
"2782",772,34,1540,1304,483,478,604,148,49,661,748,376,405,223,992,607,290,57,"CARD11"
"2783",306,150,119,87,44,157,547,494,309,797,652,472,108,391,917,403,1088,38,"CARD14"
"2784",693,112,1284,711,388,207,194,335,152,580,368,170,339,180,254,396,294,178,"CARD16"
"2785",41,1,19,4,13,4,8,16,15,37,5,5,3,4,4,12,30,2,"CARD17"
"2786",6,1,0,1,2,0,12,40,20,6,0,0,1,0,17,6,27,2,"CARD18"
"2787",427,548,546,320,125,676,524,865,448,879,942,31,123,147,319,112,356,112,"CARD6"
"2788",1579,243,2858,2556,1026,1505,755,786,601,1735,1375,1114,1220,490,1266,1566,506,1219,"CARD8"
"2789",324,15,467,166,79,167,71,36,44,198,191,402,321,140,488,134,1197,33,"CARD9"
