"symbol","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"CELA2B",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA3B",0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"CELF1",5444,1918,5259,5451,4465,7161,4693,5366,1966,7769,5673,4529,2984,2735,3109,3949,2575,5110
"CELF2",2289,129,2771,3554,3074,684,208,792,295,2755,1041,633,1275,272,753,2521,218,8309
"CELF3",5,3,3,55,4,8,2,2,0,6,2,4,4,1,0,2,2,3
"CELF4",52,3,81,82,49,14,41,12,55,127,22,93,41,20,29,32,5,57
"CELF5",8,1,37,2,3,0,0,2,3,2,2,7,13,1,2,5,2,3
"CELF6",140,15,179,86,38,118,40,34,112,67,218,188,110,196,236,55,170,9
"CELP",0,0,2,16,0,6,0,0,1,0,2,1,2,0,0,0,0,0
"CELSR1",9474,2157,4401,5092,7202,7782,7685,6279,1865,10489,7620,4555,4707,2673,3261,6118,6448,1009
"CELSR2",6932,2509,4610,6035,7611,9915,4516,5563,2383,10592,6370,5509,3115,3268,3876,4383,12241,4539
"CELSR3",666,444,405,523,662,3272,792,464,946,10490,4794,1544,1301,3168,2198,657,697,889
"CEMIP",1519,734,530,463,869,160,1315,399,136,880,1300,641,80,138,308,267,182,1173
"CEMIP2",1754,337,1582,2167,863,1320,695,1254,776,1725,1286,680,555,326,645,693,471,1824
"CEMP1",305,102,249,213,139,454,313,103,185,385,530,437,337,570,354,258,1565,119
"CEND1",23,3,43,25,9,13,4,12,3,9,15,19,206,3,16,42,14,13
"CENPA",531,426,559,446,737,1660,758,232,808,1933,947,730,881,722,434,324,600,884
"CENPB",3776,1535,3679,3601,3164,4918,3681,2544,3323,6966,5195,4853,2955,3099,2931,3213,4256,2692
"CENPBD1",252,173,678,336,334,708,506,183,256,395,418,156,161,237,201,140,258,825
"CENPC",577,466,1044,1315,1251,1508,1022,908,959,2098,1050,693,559,831,748,654,389,1084
"CENPE",980,752,1182,903,2202,2222,1394,654,1371,4164,1405,919,1221,898,737,744,817,2119
"CENPF",3942,2413,4040,4212,8067,8299,4741,2807,3313,26681,9299,5405,3221,3652,3608,3155,3603,9667
"CENPH",1253,791,1393,1283,3969,1514,1693,739,1272,1897,1039,1400,1401,491,658,1425,651,2023
"CENPI",255,100,187,150,233,206,173,92,227,695,236,252,140,71,126,171,70,337
"CENPJ",1190,326,872,780,1177,505,800,356,345,837,493,2457,567,546,463,1026,353,1157
"CENPK",1208,612,997,1146,2500,2135,2231,645,1390,2687,916,1170,1181,756,496,1204,517,1305
"CENPL",441,203,367,306,703,745,444,356,592,1304,580,305,366,336,291,265,224,682
"CENPM",842,356,828,599,643,1303,837,203,652,1348,648,1434,969,599,609,443,391,436
"CENPN",998,981,1266,781,1249,2774,2362,1289,1739,3655,1505,1081,974,1157,923,733,831,1798
"CENPO",1330,376,835,741,1382,984,832,397,620,1473,1208,1212,865,560,635,952,876,2113
"CENPP",446,187,262,147,242,611,332,296,621,423,233,210,377,110,183,163,356,159
"CENPQ",536,317,543,730,1179,516,1473,501,1566,1429,389,668,227,284,287,351,167,936
"CENPS",340,192,460,257,621,1280,618,195,627,704,475,336,448,273,309,169,324,797
"CENPS-CORT",12,1,3,12,25,19,14,0,1,10,21,26,6,8,2,5,10,23
"CENPT",1385,419,1268,854,849,2515,1866,1008,1017,1730,2508,1114,885,2238,1742,1033,1285,906
"CENPU",2863,1043,2013,3557,5178,3293,4898,1710,2984,3982,2549,2396,4535,1964,1472,1523,2493,4132
"CENPV",135,50,291,76,649,177,36,19,66,339,33,574,55,123,149,231,28,1583
"CENPVL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPW",4551,1733,1136,562,1116,1759,2828,2608,2329,6919,2153,1894,1112,3217,1792,527,2029,1293
"CEP104",1507,398,1381,1281,1451,2115,873,818,1118,2761,1758,1265,1029,920,806,1568,830,1807
"CEP112",124,18,220,142,119,53,22,83,25,68,27,73,273,12,17,160,16,85
"CEP120",1464,370,1377,2511,2106,1224,664,901,711,2555,944,620,1106,633,546,1605,394,1120
"CEP126",76,23,227,128,135,35,36,45,28,52,54,22,165,17,38,126,19,806
"CEP128",198,143,338,491,280,321,284,186,179,829,304,291,178,141,99,561,102,420
"CEP131",1158,309,1079,551,1097,1277,917,349,477,1645,1241,1216,1211,999,876,818,531,1506
"CEP135",857,156,953,2381,3020,409,555,305,342,1393,389,1057,1283,254,309,1535,372,1746
"CEP152",787,229,593,548,1044,883,890,387,395,1182,924,662,373,373,420,289,422,858
"CEP162",437,220,774,370,846,423,623,413,437,690,426,494,293,391,190,364,176,932
"CEP164",1223,200,902,711,768,664,424,680,131,805,1045,738,757,785,925,790,900,2369
"CEP170",2167,364,1678,2412,3196,785,655,1565,543,2910,939,758,1126,302,486,1684,609,6106
"CEP170B",2499,1249,2447,1274,1079,3794,3161,2069,1592,2725,3990,4251,1597,4532,2993,1477,3797,2554
"CEP170P1",12,0,3,11,10,2,0,3,1,17,4,0,0,1,0,6,0,17
"CEP19",270,919,703,526,766,422,1214,282,139,878,350,271,222,373,421,153,269,470
"CEP192",3054,584,2252,2613,3099,2371,1322,876,1350,6826,1554,3057,1755,974,529,2082,1530,5389
"CEP250",1916,494,1984,2047,1637,2823,1112,883,617,5448,2750,2466,1349,1681,1321,2675,1584,2372
"CEP290",702,126,856,911,1815,727,374,645,274,1033,385,1205,673,343,182,1328,451,830
"CEP295",973,226,984,702,902,919,614,368,453,1345,1037,584,591,366,568,731,439,1613
"CEP350",2263,849,3305,2959,3699,4097,2262,3092,1750,7651,2584,1328,1580,1563,1238,2143,1166,4047
"CEP41",289,63,300,106,392,96,177,326,264,267,36,225,50,98,44,333,89,494
"CEP44",893,409,992,1047,2821,1745,1393,1495,2122,2453,1060,933,956,701,479,783,731,1289
"CEP55",1269,1249,1492,1528,2275,4941,2601,1158,2404,4661,2525,2202,2119,2159,1221,1079,944,1950
"CEP57",1978,375,2123,1489,1867,1456,1257,923,960,2394,1405,938,1165,604,1081,1564,791,5698
"CEP57L1",354,146,309,212,430,247,315,221,281,561,278,181,166,191,128,249,112,733
"CEP63",768,690,1151,991,1663,2238,1078,1230,1017,2620,1419,1645,1195,1032,691,940,497,813
"CEP68",1120,578,1653,2082,4170,1020,1029,748,757,1918,783,1681,1945,761,480,1548,442,1815
"CEP70",1012,1118,774,1204,1071,2935,1083,747,1376,3905,2207,1218,1073,942,480,543,325,1003
"CEP72",254,73,244,331,252,352,460,140,244,360,282,243,209,109,159,300,209,330
"CEP76",426,151,330,599,832,1537,513,343,1084,2321,317,446,271,303,211,294,220,538
"CEP78",796,239,715,646,931,887,638,279,776,1732,699,528,500,315,482,552,330,661
"CEP83",518,173,480,426,519,520,461,611,443,912,431,698,479,266,309,741,308,472
"CEP85",1230,481,884,913,1131,1811,786,830,1510,4308,2284,1182,970,1044,1006,1023,1109,2449
"CEP85L",250,17,858,535,559,249,33,152,46,605,226,107,191,43,208,290,62,300
"CEP89",399,90,271,257,404,383,226,304,457,596,325,336,232,172,237,536,251,587
"CEP95",1131,329,1129,949,1673,2477,1735,760,904,1882,1112,1310,1148,1356,900,793,819,2455
"CEP97",281,259,202,352,513,557,143,480,352,715,335,439,177,169,110,409,78,1121
"CEPT1",1519,554,2250,1746,1574,2226,1650,1339,1301,3521,1304,980,950,515,1432,973,1213,1191
"CER1",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CERCAM",1810,286,492,546,730,367,174,1634,124,334,267,879,618,990,165,535,717,1253
"CERK",3168,918,2630,7016,3644,1924,1426,1981,921,3236,2213,2155,2211,1083,2067,2168,825,1841
"CERKL",53,0,180,153,50,57,11,21,8,73,39,17,32,12,29,11,8,16
"CERS1",6,3,9,2,7,3,0,2,1,1,3,3,14,7,1,1,3,129
"CERS2",3620,1197,4046,3128,3702,3280,2548,3118,1691,5919,3799,2466,2194,2094,2269,3167,1776,3516
"CERS3",248,830,470,683,87,4318,5498,3831,2304,5733,2311,20,53,1302,2562,19,2827,1830
"CERS4",669,681,1071,1113,108,6025,1512,1138,1664,5499,1119,1419,898,1176,1417,1358,100,256
"CERS5",1661,449,2168,1478,1696,1984,1981,1090,1069,1607,1127,1796,1304,1011,839,1603,1030,1321
"CERS6",1734,914,1703,2582,1618,8113,1706,2148,2166,4789,1066,850,775,930,885,822,782,4565
"CERT1",2417,603,2135,2446,1652,3524,1603,2096,2025,5661,1607,1483,1302,1116,970,2041,847,1392
"CES1",321,143,60,107,75,27,13,390,46,63,12,8,2,15,23,25,126,1
"CES1P1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CES1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CES2",1301,2378,2132,1169,1067,5717,3167,6449,8029,5436,2444,964,799,3743,4993,754,4747,1921
"CES3",13,178,59,14,22,1984,157,83,461,36,33,341,14,1166,405,27,62,22
"CES4A",223,87,113,89,48,79,194,65,98,211,257,103,75,278,377,59,305,51
"CES5A",1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"CES5AP1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,24
"CETN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CETN2",1153,774,1987,1932,2105,2345,1707,1947,1632,2547,1445,1781,1076,987,875,810,692,1394
"CETN3",624,372,906,728,987,952,915,900,994,1237,522,281,494,409,466,516,432,938
"CETN4P",5,2,2,9,1,2,2,7,2,1,8,1,3,4,1,6,8,6
"CETP",41,2,97,65,10,73,7,12,7,56,8,6,15,10,21,12,2,42
"CFAP100",0,0,0,4,0,1,1,3,0,0,1,2,3,1,1,0,0,0
"CFAP126",24,3,13,17,31,8,8,25,21,48,33,23,8,19,5,17,11,32
"CFAP157",8,1,7,3,12,10,14,9,10,9,7,19,13,21,3,28,7,7
"CFAP161",12,4,3,1,3,2,3,7,1,5,0,3,2,3,4,2,1,0
"CFAP20",864,438,1040,781,1005,1995,1364,1290,1136,1769,980,652,637,668,802,615,500,863
"CFAP206",6,2,15,9,25,2,5,1,3,8,2,5,36,0,0,11,1,54
"CFAP221",1,0,20,5,20,2,1,0,2,2,0,2,45,0,1,25,0,0
"CFAP298",1526,639,1589,1298,1215,3879,2384,1775,3240,3089,1793,1002,1032,1411,1852,966,2083,2004
