"symbol","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"IQCN",60,2,149,180,75,170,9,77,3,25,31,239,175,83,187,112,30,19
"IQGAP1",15646,5671,17102,10741,15617,10630,13860,15840,7297,23017,15916,7503,5394,5955,7378,7382,8568,9565
"IQGAP2",1107,46,907,862,508,240,109,272,138,809,309,97,329,182,142,406,71,104
"IQGAP3",1482,717,1082,526,1331,2893,2217,1235,1368,4730,5609,3069,2935,3297,2895,995,2385,1774
"IQSEC1",1696,445,2817,2487,1481,1197,692,1427,744,1606,1040,1553,1679,1065,1443,1933,610,1526
"IQSEC2",848,156,713,373,424,469,289,473,69,937,614,1242,605,305,366,614,592,192
"IQSEC3",61,1,439,45,8,1,0,27,3,7,54,8,8,9,6,13,32,669
"IQUB",12,8,3,25,23,4,9,18,13,9,6,9,26,3,3,45,4,12
"IRAK1",5808,1305,4607,6277,3417,7642,2453,2914,4644,9657,7808,6981,6818,5934,3840,3643,3355,2064
"IRAK1BP1",83,10,28,60,173,10,32,47,56,80,26,74,18,15,10,39,11,241
"IRAK2",2600,229,943,381,733,1112,1765,1374,607,1704,1146,508,338,298,1072,1010,28,287
"IRAK3",1960,352,1217,947,1684,175,423,275,116,538,365,970,1492,75,265,1169,142,1033
"IRAK4",1255,345,1659,1416,1439,2058,742,1409,927,1876,1277,1128,862,495,1191,1417,923,597
"IREB2",2227,838,2489,3786,5442,2445,2150,1840,1575,6300,2618,2045,853,1237,1597,1236,1714,1603
"IRF1",10667,1471,17357,8402,12412,2676,2753,2948,1890,7873,10742,5365,5735,5442,3423,9476,5923,1924
"IRF1-AS1",574,29,585,541,555,122,79,105,61,159,295,78,436,222,141,450,171,45
"IRF2",3209,692,3985,3995,3232,2235,2005,1790,1074,5292,2158,2017,2078,1393,1272,2160,1667,3644
"IRF2BP1",1135,361,1146,1170,1419,1464,907,607,761,1424,1117,2097,1099,1193,1251,1424,868,1877
"IRF2BP2",12332,2007,8358,12955,17574,6778,8792,12879,3850,17056,7733,10339,6840,4669,4365,5612,5569,9624
"IRF2BPL",1748,840,2109,2236,1888,1243,2727,1104,2782,4889,3265,3180,1419,2714,1187,3156,2400,3750
"IRF3",2871,561,3335,2408,2160,2627,2063,1857,2697,3845,3248,3392,2316,1905,3210,3744,3627,2177
"IRF4",3022,537,2879,4400,1817,1916,1062,1299,1035,4266,3311,2231,2575,1546,2094,4628,2321,1467
"IRF5",796,180,1178,988,258,1728,655,1444,1906,1552,2358,715,670,1796,1271,710,5764,80
"IRF6",11063,4593,6664,11399,10654,24232,20191,29103,11967,39986,14864,11951,2518,10161,6216,8205,18926,20318
"IRF7",2077,343,4977,4221,937,1873,2065,1657,674,1564,3759,1568,1740,2345,2083,1806,1731,1774
"IRF8",1392,132,4047,3517,719,1135,97,327,270,1708,1383,269,953,216,1592,764,217,94
"IRF9",3192,1057,7558,4525,2175,4799,2824,4168,1706,5219,5237,6290,2352,4895,2389,1814,3965,758
"IRGC",0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0
"IRGM",2,0,1,1,1,1,1,0,0,3,0,0,3,0,0,0,0,0
"IRGQ",1661,570,1210,2103,1464,1667,1179,1181,836,2524,1193,2096,1042,1156,1345,1908,951,1793
"IRS1",489,294,413,557,255,413,1246,924,597,1034,867,404,163,491,231,84,92,1451
"IRS2",433,56,862,1138,2781,857,1514,1462,316,423,197,1820,471,112,194,4618,217,1519
"IRS4",14,167,5,0,21,1,0,0,3,0,2,1,0,0,0,0,0,69
"IRX1",51,0,12,16,1,2,0,25,0,2,3,0,3,0,12,9,0,29
"IRX2",163,115,256,134,2,325,299,229,310,31,15,325,330,4,9,1904,306,1862
"IRX3",2093,788,1018,1294,1305,1601,1399,2174,429,2051,1326,893,871,944,1369,831,360,1368
"IRX4",642,195,737,28,1053,634,1625,906,272,7,128,1,184,503,20,7,1932,2639
"IRX5",232,88,154,155,996,715,529,220,797,836,148,286,65,463,339,86,136,377
"IRX6",1726,1,673,259,1238,1,38,20,7,314,92,1693,680,136,532,693,28,24
"ISCA1",1017,651,1363,1210,2526,1275,1091,1034,2086,1890,705,982,844,644,503,1187,778,873
"ISCA2",341,268,686,489,378,890,770,458,563,1642,486,385,272,336,328,327,246,494
"ISCU",3772,1140,5026,3747,3405,3707,2174,2927,2754,4463,2874,3208,3362,1587,1826,5045,1237,2171
"ISG15",1271,260,17135,5746,500,6975,6251,3006,5226,2245,6786,1279,1545,6895,1400,1673,2131,400
"ISG20",782,375,2761,3654,773,1608,1028,1384,870,1426,2572,354,537,1102,782,996,503,121
"ISG20L2",1139,406,866,1126,1071,1615,842,1317,1508,3516,2000,952,723,1096,822,916,874,1535
"ISL1",538,0,174,56,846,1,10,97,7,1,27,402,572,31,0,599,46,494
"ISL2",34,38,21,40,41,65,0,53,80,112,62,77,9,148,79,38,97,18
"ISLR",4858,26,2583,1650,2383,667,140,3711,247,456,355,422,943,303,349,386,671,1637
"ISLR2",75,6,13,57,18,11,5,35,5,3,4,10,68,5,12,19,33,2
"ISM1",226,21,52,210,94,116,11,377,17,16,24,13,54,5,26,78,50,93
"ISM2",2,34,225,7,0,220,25,5,16,138,31,39,3,94,85,23,55,7
"ISOC1",1130,454,1341,1308,2908,1903,1338,1036,1365,2205,1251,487,1476,700,608,2331,802,2252
"ISOC2",1213,649,2234,1136,1250,1650,1712,1431,1543,2942,1433,2024,1926,1141,2364,1869,1058,1336
"IST1",3683,1841,5312,4146,2933,7439,5897,4775,3645,8688,4870,2140,2150,3506,3094,3105,3009,5097
"ISX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ISY1",881,833,1241,857,1103,1900,1653,1225,1166,1802,1380,1679,1263,1124,773,561,471,788
"ISY1-RAB43",0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,0
"ISYNA1",2687,326,1206,1492,970,863,936,397,653,1092,186,5526,3827,495,576,3868,2467,2942
"ITCH",1928,1172,2183,2671,3307,3787,2329,2955,3310,7494,2944,2031,1186,1221,1332,2688,1187,2667
"ITFG1",1169,660,1638,1517,1248,2239,1054,2022,1329,2871,1348,495,497,784,574,886,799,1056
"ITFG2",898,118,931,653,803,537,620,624,359,1149,538,854,436,429,605,657,503,647
"ITGA1",1097,81,849,654,1161,300,123,631,167,964,267,182,536,77,103,601,175,941
"ITGA10",134,2,68,76,59,44,15,45,15,40,38,47,73,65,53,35,47,205
"ITGA11",1105,2,106,101,330,108,21,465,46,101,50,129,180,40,22,91,175,242
"ITGA2",3921,2336,4632,12322,3242,6589,9064,7038,5551,15651,3407,3301,2988,4038,1790,7470,2454,10202
"ITGA2B",12,100,38,9,6,46,45,8,7,11,40,40,64,213,147,8,23,77
"ITGA3",8732,3248,8367,1830,4923,8670,10493,3726,5971,7855,3909,4172,4834,11571,1050,5183,5818,4831
"ITGA4",493,48,1586,1283,746,405,74,215,89,1232,434,193,399,92,259,458,61,334
"ITGA5",2916,451,1728,1780,1163,637,1333,2601,469,1562,925,1051,965,599,647,3083,1024,1989
"ITGA6",8945,9804,8041,12367,4382,63432,34264,12929,33473,41185,9615,5731,5789,15904,2843,6650,15860,25192
"ITGA7",876,56,318,468,556,236,86,196,110,207,359,371,481,293,370,778,377,4444
"ITGA8",32,7,65,88,30,33,2,44,7,120,25,5,30,0,10,70,4,46
"ITGA9",82,15,144,262,112,46,6,35,19,81,35,29,69,8,53,83,2,2625
"ITGAD",23,2,76,98,4,23,2,7,9,15,38,5,12,13,26,28,21,1
"ITGAE",1021,229,1914,775,1162,642,537,494,635,1130,851,1210,714,379,433,466,361,458
"ITGAL",2043,136,5660,3490,1512,1144,465,408,192,2237,2686,1083,1483,513,2026,1926,561,113
"ITGAM",1704,34,1268,593,4062,243,88,154,92,609,438,941,1496,117,355,2868,410,285
"ITGAV",16214,2832,6779,12904,11125,11984,5418,7832,3700,9674,2904,5595,12933,1883,1940,13628,2635,26226
"ITGAX",3436,74,2553,1100,387,511,195,302,161,1123,1791,389,1428,655,2477,1082,1640,58
"ITGB1",17856,6433,15040,18229,21189,24341,17831,17565,18252,28190,8456,9672,9563,6748,3913,13203,4752,31146
"ITGB1BP1",1537,844,1442,1103,1521,1488,1414,1199,1161,2135,1182,1143,1274,1192,888,875,1410,2376
"ITGB1BP2",30,5,12,21,28,37,24,12,5,9,24,43,23,62,52,28,34,10
"ITGB2",8684,286,10622,4878,3026,1506,546,1219,988,3840,4595,1606,4232,784,2978,2913,2811,556
"ITGB3",77,1,54,74,47,13,3,22,0,64,21,14,34,1,16,76,3,1248
"ITGB3BP",725,344,1005,783,1609,1905,1598,506,2990,1298,687,736,760,437,554,631,566,1103
"ITGB4",14957,4915,10336,2918,13487,26917,21233,7762,11120,27663,24060,11069,13310,22047,6184,18323,14979,35789
"ITGB5",4187,2556,1713,3355,1958,4969,2482,5342,1634,1008,1842,4570,2438,2672,1161,2195,692,2467
"ITGB6",4578,418,474,1612,1385,230,179,1081,182,1083,295,628,6,333,85,1493,393,3134
"ITGB7",951,94,1914,1596,830,563,246,280,228,817,987,702,1354,463,1040,1241,298,88
"ITGB8",4160,939,3381,6312,4893,9727,5627,7262,3769,14055,8064,7217,7659,3374,3406,4984,4279,3051
"ITGBL1",861,1,89,428,218,96,5,287,68,161,30,24,91,39,49,32,14,783
"ITIH1",11,1,15,7,20,6,1,0,0,7,11,1,11,0,8,35,0,0
"ITIH2",2,0,0,2,7,2,1,0,0,3,5,4,0,1,1,3,2,2
"ITIH3",37,1,27,28,9,18,1,1,1,9,2,10,4,0,18,3,4,11
"ITIH4",346,18,233,264,90,104,103,58,22,158,224,171,432,159,472,279,194,52
"ITIH5",2277,139,1455,2481,1013,441,106,361,142,487,151,420,2913,46,213,7481,29,282
"ITIH6",1,1,2,0,1,0,9,0,5,18,0,12,3,7,11,0,11,0
"ITK",522,60,1638,1265,1049,284,139,235,118,1224,467,308,315,94,341,616,71,42
"ITLN1",0,0,3,0,1,0,0,1,6,10,0,1,1,1,2,1,2,0
"ITLN2",0,0,1,0,1,0,2,3,5,0,0,7,4,1,0,11,3,0
"ITM2A",902,50,2899,2480,2301,348,104,366,282,1043,471,441,468,169,206,453,32,142
"ITM2B",21728,9739,48661,24825,15386,38687,70886,45725,47519,49487,18140,7851,9703,12473,12454,13706,22580,15179
"ITM2C",2164,269,2780,9033,2640,1307,1188,1245,330,4113,2317,566,3790,1353,571,3983,699,3572
"ITPA",1327,558,1720,894,1410,2156,1805,1278,1477,1881,2126,1239,958,1316,1538,1066,1792,1217
"ITPK1",1716,644,2212,1390,1417,2515,1268,736,876,3568,1928,1075,1020,2429,1004,1084,1618,1411
"ITPK1-AS1",0,5,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0
"ITPKA",246,54,207,54,121,667,77,89,82,120,165,240,161,214,173,115,89,107
"ITPKB",1869,626,2012,2477,1549,1569,758,3059,528,2467,1687,1113,855,944,1289,700,699,11937
"ITPKC",1492,1125,1717,2745,751,6444,9102,10045,7291,9561,4476,2730,1126,4828,3363,1345,3413,1021
"ITPR1",1521,139,1550,1243,990,1132,390,720,197,1067,478,394,550,348,612,1370,390,1210
"ITPR2",1485,336,2069,1370,1743,1014,826,955,220,1657,371,372,906,211,364,1369,807,1916
"ITPR3",14696,2591,6066,9852,11518,9672,7600,4511,2560,12449,9275,9064,4586,4723,6190,5941,6476,16588
"ITPRID1",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"ITPRID2",4152,1177,2910,3259,1769,4468,2295,3818,2953,5926,2694,1216,1466,834,1039,2904,1173,7099
"ITPRIP",1427,1108,1506,2451,1785,3159,3291,5585,3355,3854,1946,967,1146,2253,1093,1317,1928,1523
"ITPRIPL1",158,58,213,252,101,91,77,92,16,99,63,264,79,77,79,127,13,215
"ITPRIPL2",1984,1751,3278,1355,1401,5219,2306,2461,2767,2245,2344,3222,1106,2439,1380,1637,4342,2390
"ITSN1",781,227,638,1033,1268,726,808,597,917,1710,576,751,563,447,250,781,802,1874
"ITSN2",2035,453,1725,1845,2142,1890,2034,1803,1095,3190,1671,1276,1250,1047,938,1894,1530,2379
"IVD",1851,482,1996,1286,1372,1316,486,489,386,952,1305,1381,792,989,1147,697,322,1718
"IVL",1879,388,694,1534,31,10327,2830,17441,4126,5838,1188,26,244,3714,8122,35,3323,537
"IVNS1ABP",6841,1510,5582,7060,7369,5120,10652,8417,3355,16199,7320,3996,2996,4538,4656,4029,6576,9649
"IWS1",2242,777,2188,2148,1284,2345,2333,1674,1663,4129,1915,1240,1308,1152,1223,1666,1573,3260
"IYD",1,0,2,6,4,1,1,11,1,12,2,1,2,1,9,1,0,1
"IZUMO1",5,1,9,0,0,17,13,1,7,13,14,20,3,17,11,0,11,0
"IZUMO1R",7,0,3,5,0,0,0,0,0,0,0,4,1,0,1,0,0,9
"IZUMO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IZUMO4",251,130,146,116,134,449,626,28,427,257,259,353,404,150,231,350,400,24
"JADE1",974,456,1451,1181,1713,1361,528,713,478,1671,1076,1341,1402,844,541,742,814,589
"JADE2",3380,718,2394,3498,4340,2505,4114,2170,939,5224,12858,1596,2065,6313,652,4081,3969,1833
"JADE3",377,209,643,674,655,991,434,410,473,1005,401,947,276,365,295,350,156,1000
"JAG1",8141,4756,5106,7742,2608,13632,8301,16739,5410,11333,5309,14689,3831,7644,3815,5167,7104,5823
"JAG2",4385,773,3495,1966,2665,3049,1709,818,1510,2148,2968,9074,4164,1756,1110,6045,4558,4410
"JAGN1",1139,433,1523,827,1387,1528,1222,1903,2063,1714,1121,1044,879,782,1216,931,667,1186
"JAK1",5729,1791,8579,8179,5598,5777,3676,4259,4300,11271,5787,3586,3549,2121,2698,4695,2932,7009
"JAK2",1678,238,3487,3261,1211,971,597,766,731,2035,1289,1576,1409,803,541,3959,1107,435
"JAK3",2346,120,4991,3025,988,963,325,408,143,1877,1861,3235,2481,419,2310,2886,333,818
"JAKMIP1",164,10,305,168,219,37,33,53,39,142,167,141,121,48,71,156,35,10
"JAKMIP2",28,2,36,81,87,15,4,29,2,37,51,10,37,12,7,80,7,18
"JAKMIP3",16,12,13,21,16,5,0,12,2,14,10,3,5,5,6,5,4,111
"JAM2",276,7,261,246,100,136,12,58,28,83,35,23,116,17,59,31,22,297
"JAM3",731,35,569,653,418,252,70,440,97,348,177,80,263,63,191,136,113,732
"JAML",1204,130,2575,1345,615,543,227,214,210,775,652,617,837,261,593,367,408,64
"JARID2",2768,866,1576,2450,762,2256,1512,1763,812,3996,1395,1420,611,811,1247,1287,576,1657
"JAZF1",924,158,820,879,1905,247,238,747,113,353,154,625,406,69,186,432,39,1310
"JAZF1-AS1",2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"JCAD",937,46,455,585,467,242,62,451,88,377,135,92,253,55,81,555,81,870
"JCHAIN",7328,3957,12598,42474,18803,27435,1244,17629,3933,24187,8695,1319,10038,1087,1929,7705,1241,188
"JDP2",1069,522,966,890,606,142,685,1086,247,972,390,791,359,789,244,635,313,1505
"JHY",63,6,138,97,45,20,7,95,16,53,30,16,22,9,25,175,13,201
"JKAMP",1222,355,1546,1123,1475,1505,829,1161,1348,2080,1099,794,890,593,475,1061,569,1131
"JMJD1C",1467,499,2428,3021,3010,2563,1361,1876,1494,4634,1146,1097,1064,815,692,1717,546,2763
"JMJD4",699,112,580,782,461,568,449,229,304,932,499,622,490,430,443,543,538,1624
"JMJD6",1008,269,910,852,1081,1051,1181,1070,1096,1873,1392,867,935,920,627,721,370,620
"JMJD7",590,193,589,349,180,856,1010,340,827,797,574,337,209,438,693,177,635,379
"JMJD7-PLA2G4B",2,0,3,13,6,1,2,1,5,7,10,2,1,1,8,3,2,4
"JMJD8",2111,626,1705,1462,957,2082,1303,1697,1451,1913,1821,1710,2122,1502,1406,2045,3078,1275
"JMY",810,680,1155,1934,2606,2220,1047,1205,1191,3658,1015,1310,902,763,837,1585,428,2338
"JOSD1",2734,1482,2710,3103,3288,5467,3018,3491,3206,6779,3121,2746,2421,2638,1349,2597,2721,3272
"JOSD2",417,205,629,355,504,539,606,680,622,486,587,1073,581,662,797,597,738,293
"JPH1",979,208,317,617,418,402,80,573,158,590,267,1013,599,114,587,1084,8,538
"JPH2",74,2,15,30,33,9,31,17,7,7,3,13,11,3,10,7,12,33
"JPH3",20,5,3,13,1,10,6,10,2,3,2,4,4,19,13,4,7,5
"JPH4",13,1,61,17,19,8,8,10,3,17,18,13,12,17,11,4,5,99
"JPT1",2411,2823,3615,2022,1970,19895,5957,5354,7941,6403,4848,2977,2807,5574,3814,1854,2538,2621
"JPT2",6929,2413,5794,6075,3878,9896,6126,5183,7158,11544,5312,7369,7177,3371,3650,9573,7807,6189
"JPX",119,43,119,96,101,159,44,47,127,249,88,135,65,75,44,65,58,80
"JRK",1424,335,887,754,1447,1014,540,422,517,1221,1014,1701,797,1081,929,1066,565,1698
"JRKL",884,126,672,654,674,511,387,507,200,830,629,462,334,231,377,479,434,1158
"JSRP1",316,7,104,1995,164,163,11,78,38,261,112,18,176,24,79,383,115,1
"JTB",3667,1773,4691,4111,3551,7824,4567,4430,7392,9178,5629,3196,2772,4515,4807,2992,3300,3297
"JUN",7007,1663,4521,19807,11235,9197,11329,32108,10798,21045,10269,14874,5691,6704,3802,12290,5010,1575
"JUNB",15687,2176,5521,21464,9041,14938,18272,50578,13738,16755,24415,32339,8070,11245,9155,24643,12354,4274
"JUND",4214,1890,5073,10934,4678,12207,9331,21775,9363,9534,4970,14164,3215,5326,4974,9198,4394,2553
"JUP",31042,20658,14776,12506,11576,100380,59086,56285,43881,75942,41553,22076,11465,57038,29978,17796,46409,13909
"KAAG1",1,0,1,1,0,0,2,0,3,5,0,0,0,0,0,0,0,0
"KALRN",170,19,103,692,137,44,69,480,51,104,46,37,39,373,157,215,139,224
"KANK1",780,539,1463,748,905,4130,850,1407,1714,1349,1096,473,676,2243,903,788,812,2691
"KANK2",1937,398,970,1081,870,2143,1124,1020,1191,2637,1945,1351,1397,760,798,988,582,1646
"KANK3",275,37,198,289,153,157,95,129,57,139,114,216,221,95,264,568,502,110
"KANK4",239,0,9,9,1541,1,2,240,3,15,2,9,10,3,1,31,24,15759
"KANSL1",2231,736,1970,1793,2267,3859,2398,1711,1227,4000,2404,1584,1073,2008,1232,1468,1018,2531
"KANSL1-AS1",24,43,51,28,34,501,166,64,144,69,47,15,27,170,36,70,18,119
"KANSL1L",550,232,681,762,426,314,576,612,411,741,322,352,359,318,149,251,286,905
"KANSL2",1525,487,1625,1190,2025,2254,1588,1179,1405,2254,1201,1772,883,787,753,1887,630,1535
"KANSL3",3192,733,3386,2403,2046,2134,2104,1387,1106,3096,2277,2680,2216,1766,1650,2756,2298,3223
"KARS1",3964,2410,6474,4020,3510,9974,6651,5545,6134,9937,6069,2285,2472,4025,4143,2657,3423,5967
"KAT14",721,242,886,771,1315,1265,456,466,639,1499,780,1032,583,575,428,981,513,1001
"KAT2A",3360,869,2632,1254,2264,3806,2755,1178,2079,3888,3488,4838,2691,6096,3188,2291,3057,2273
"KAT2B",1152,473,1943,1380,1193,1199,763,1897,1540,1252,1686,534,645,682,610,915,123,686
"KAT5",1005,321,854,908,1081,1013,928,838,853,1973,855,781,263,528,600,665,576,1040
"KAT6A",4669,930,2534,5211,7498,3575,1904,2143,1709,5006,2333,3930,2370,1281,2043,7434,1452,5172
"KAT6B",877,507,1514,1980,2070,1485,1177,1585,716,2535,896,1210,854,601,537,1127,539,1630
"KAT7",2164,572,1789,1349,2328,1780,1283,1097,1059,2789,1351,1626,1178,1192,852,1810,691,3708
"KAT8",819,293,1329,723,1724,1268,1369,701,909,1347,945,1155,612,887,630,1235,1966,928
"KATNA1",787,322,744,545,1065,809,914,633,962,1558,440,725,657,381,522,672,360,1414
"KATNAL1",519,336,477,570,700,98,234,852,142,403,209,555,483,130,93,741,192,556
"KATNAL2",117,46,175,154,206,205,113,95,45,109,253,143,214,65,175,95,781,123
"KATNB1",614,473,708,500,588,1273,756,1043,977,1081,925,550,549,920,754,440,381,650
"KATNBL1",912,478,1251,1077,1403,1734,1458,1062,1781,2152,832,713,377,677,848,392,1230,1162
"KAZALD1",19,15,38,30,29,55,14,46,30,38,70,39,22,44,48,94,70,79
"KAZN",1288,430,873,1306,1178,1355,3143,1860,1270,5020,3919,1120,812,1331,2160,984,1721,1654
"KBTBD11",50,13,142,187,79,26,19,37,13,47,44,8,26,45,65,44,33,102
"KBTBD12",12,2,329,4,5,3,369,747,385,83,459,4,3,337,130,77,11,1
"KBTBD13",1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0
"KBTBD2",2901,984,2832,3210,4024,2857,2673,2618,1441,3652,3024,2596,2026,1491,1655,2116,1887,2894
"KBTBD3",174,69,162,232,137,131,103,131,134,147,65,71,113,47,70,126,54,191
"KBTBD4",332,92,241,367,531,382,169,331,149,545,284,212,132,97,174,377,118,487
"KBTBD6",504,177,808,909,972,578,562,411,576,583,215,395,500,143,177,845,292,2483
"KBTBD7",174,57,163,267,302,183,118,162,72,335,95,123,119,55,49,239,95,392
"KBTBD8",87,48,553,420,118,290,170,135,320,309,141,47,105,84,246,163,36,155
"KCMF1",3051,1228,2690,2737,3728,4422,4146,3863,3684,5077,2856,2326,1787,2541,1778,2363,3641,3070
"KCNA1",9,0,15,3,1,0,0,5,0,2,0,0,0,0,1,0,0,113
"KCNA10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNA2",39,3,72,95,72,8,12,7,0,40,13,26,148,2,10,36,4,776
"KCNA3",61,8,128,333,182,53,6,67,4,261,61,12,47,9,35,313,4,10
"KCNA4",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNA5",19,1,18,61,9,7,0,0,3,12,2,10,8,2,6,24,2,5
"KCNA6",7,2,38,42,10,19,1,2,0,15,15,1,6,4,20,15,3,135
"KCNA7",17,3,6,0,2,27,15,19,28,75,21,8,10,14,36,17,49,11
"KCNAB1",51,31,73,73,114,55,29,91,37,59,32,87,41,25,26,52,30,90
"KCNAB2",1352,140,2523,1693,1597,665,274,450,418,1353,1427,670,1258,562,968,1364,640,866
"KCNAB3",65,11,46,58,119,51,76,36,12,29,58,105,159,116,93,60,49,720
"KCNB1",2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1
"KCNB2",279,0,54,261,267,2,6,134,0,40,52,145,120,12,26,160,3,232
"KCNC1",8,1,2,30,10,2,2,0,0,3,0,59,2,1,2,5,1,46
"KCNC2",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"KCNC3",35,18,36,16,24,77,23,53,21,33,72,101,37,45,81,118,4,111
"KCNC4",1051,121,529,585,462,84,258,141,22,510,199,754,637,136,85,550,327,503
"KCND1",442,18,280,239,187,81,90,65,17,166,133,348,254,107,142,267,93,248
"KCND2",62,1,4,114,76,6,1,77,10,28,3,2,8,0,0,3,71,4
"KCND3",37,21,33,9,16,2,41,31,3,148,7,5,1,12,4,7,45,6
"KCNE1",5,9,6,2,3,3,2,50,9,17,7,10,1,2,3,1,2,5
"KCNE2",7,16,21,6,17,69,19,23,27,18,21,20,13,12,10,18,23,23
"KCNE3",1032,228,708,722,122,67,98,221,73,357,620,109,187,144,409,126,107,150
"KCNE4",241,6,284,215,118,54,13,167,56,145,39,24,56,12,32,40,11,62
"KCNE5",18,1,6,6,11,3,4,3,1,3,6,4,4,2,7,4,1,3
"KCNF1",11,0,15,9,2,4,0,11,1,1,0,2,3,0,6,0,1,8
"KCNG1",6,3,115,35,6,54,11,21,87,19,8,32,4,100,51,28,53,316
"KCNG2",7,1,5,6,15,5,1,0,0,5,2,7,7,0,2,3,3,5
"KCNG3",24,43,24,44,26,295,54,63,87,278,45,49,37,76,44,40,101,8
"KCNG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNH1",6,52,12,16,4,6,77,90,2,442,104,17,24,35,48,5,11,6
"KCNH2",28,5,33,919,19,10,10,25,1,24,13,57,95,3,16,28,11,17
"KCNH3",207,6,79,339,852,17,11,14,1,14,19,41,393,3,56,484,17,83
"KCNH4",19,1,21,21,3,22,8,3,5,49,36,40,20,11,31,10,20,1
"KCNH5",2,0,1,2,2,0,0,0,2,1,0,0,0,0,1,0,0,0
"KCNH6",2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNH7",0,0,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,4
"KCNH8",18,1,26,230,115,42,15,42,6,45,11,10,32,3,43,6,0,174
"KCNIP1",8,0,1,23,11,1,1,1,1,4,4,0,0,2,3,0,0,5
"KCNIP2",77,19,106,115,92,93,53,21,16,46,96,103,107,51,135,88,133,30
"KCNIP3",133,26,371,76,211,9,33,88,7,8,5,323,326,121,20,428,15,147
"KCNIP4",29,7,36,30,53,40,55,41,44,49,26,36,35,12,13,48,32,33
"KCNIP4-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ1",11,2,11,17,33,1,1,1,2,2,5,5,11,1,4,6,2,21
"KCNJ10",127,7,802,124,46,46,9,5,19,167,108,27,112,16,56,71,25,6
"KCNJ11",44,36,31,148,28,339,63,100,63,570,249,452,56,144,277,130,18,67
"KCNJ12",32,2,91,17,12,0,22,25,0,1,0,7,0,3,43,1,6,31
"KCNJ13",0,3,1,1,5,2,4,0,0,2,1,1,2,1,1,0,1,57
"KCNJ14",61,26,81,73,188,79,95,77,26,174,84,205,195,129,99,115,97,75
"KCNJ15",997,251,450,528,238,17,510,710,54,667,339,21,42,59,364,98,772,90
"KCNJ16",1,0,0,2,0,2,1,1,0,0,1,0,2,0,1,0,1,1
"KCNJ18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ2",1023,705,1546,571,651,810,2117,448,95,1699,583,195,389,265,167,435,755,92
"KCNJ2-AS1",36,13,37,20,65,65,71,20,13,124,55,17,12,39,14,29,38,5
"KCNJ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ4",0,0,2,0,1,0,0,1,0,2,1,1,0,0,0,1,1,7
"KCNJ5",291,0,75,147,1099,6,3,34,13,30,14,66,109,6,3,886,11,774
"KCNJ6",78,0,2,8,3,2,0,1,0,6,0,3,0,0,2,1,8,2
"KCNJ8",514,21,116,235,157,80,7,154,112,204,49,46,130,21,30,123,22,121
"KCNJ9",1,0,2,1,1,0,1,0,4,0,7,1,0,0,0,0,2,1
"KCNK1",981,643,912,766,492,3485,3021,2724,1441,5739,1167,1169,557,648,1196,265,968,443
"KCNK10",1,100,12,50,15,23,413,165,16,15,94,6,2,258,2,0,109,4
"KCNK12",13,2,17,9,9,13,1,4,2,3,7,3,4,4,17,9,3,16
"KCNK13",31,9,90,43,27,27,9,19,5,48,40,55,48,24,18,43,20,10
"KCNK15",19,37,13,10,0,13,51,5,2,1,3,2,0,19,96,2,56,1
"KCNK16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK17",24,0,19,58,1,3,2,2,1,11,7,6,25,3,6,10,6,21
"KCNK18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK2",19,1,10,20,33,8,0,2,2,4,0,0,5,2,1,0,0,312
"KCNK3",7,0,25,6,0,3,0,2,4,2,6,72,1,0,2,4,4,1
"KCNK4",7,0,8,0,3,3,0,2,0,0,1,1,1,0,1,17,3,7
"KCNK5",445,187,811,233,143,138,234,182,99,88,521,425,408,368,110,693,292,1766
