"","x"
"965","MRPL44"
"966","TEX29"
"967","EIF2B3"
"968","RHOB"
"969","TCL1A"
"970","INHBB"
"971","NGDN"
"972","PTK2B"
"973","LINC00488"
"974","FIBCD1"
"975","FOXM1"
"976","MLKL"
"977","SAC3D1"
"978","AIF1L"
"979","DEK"
"980","SULT1A2"
"981","ACOX1"
"982","MMS19"
"983","PEF1"
"984","VARS2"
"985","SMG7"
"986","BIN3"
"987","CPNE1"
"988","PLCE1"
"989","MRPS31"
"990","UBE2L6"
"991","MYLK4"
"992","PPM1M"
"993","HAPLN2"
"994","KRT9"
"995","ADI1"
"996","SSC5D"
"997","MAPK8IP3"
"998","PHC3"
"999","PTH1R"
"1000","CIAO1"
"1001","ARL8A"
"1002","RSAD2"
"1003","LOC645166"
"1004","RPS20"
"1005","TATDN1"
"1006","C11orf35"
"1007","ZFYVE16"
"1008","FAM102B"
"1009","LOC554206"
"1010","MLLT10"
"1011","SPG20"
"1012","SSSCA1"
"1013","LINC00313"
"1014","ADAM28"
"1015","TTC9B"
"1016","TGDS"
"1017","MKKS"
"1018","ZNF80"
"1019","NCOA6"
"1020","ARNT"
"1021","HNRNPA1"
"1022","ATP6AP1L"
"1023","ROBO3"
"1024","VASN"
"1025","TULP2"
"1026","ATP13A2"
"1027","HCG23"
"1028","TNNT1"
"1029","RILP"
"1030","C18orf32"
"1031","ZNF816"
"1032","PLEKHF2"
"1033","SLC7A6"
"1034","INSL3"
"1035","ARID3B"
"1036","LOC100292680"
"1037","TAX1BP1"
"1038","C12orf60"
"1039","CKM"
"1040","SMG5"
"1041","RFX1"
"1042","COX14"
"1043","FARS2"
"1044","ERV3-1"
"1045","MCART1"
"1046","CDK2"
"1047","ISM1"
"1048","MAGEA11"
"1049","HAMP"
"1050","RWDD1"
"1051","IGF2BP3"
"1052","C14orf43"
"1053","FHL3"
"1054","PPAP2C"
"1055","ANGPTL6"
"1056","TTC4"
"1057","TTC27"
"1058","CRAMP1L"
"1059","TBCE"
"1060","LOC100268168"
"1061","ROPN1B"
"1062","STX16-NPEPL1"
"1063","DRG1"
"1064","MT1A"
"1065","AKR1C4"
"1066","LOC100132247"
"1067","C12orf47"
"1068","CSNK2A1"
"1069","CAPZA2"
"1070","ANKIB1"
"1071","UROD"
"1072","WWTR1"
"1073","SLC30A3"
"1074","FYCO1"
"1075","TBCB"
"1076","ANKRD27"
"1077","TRIM33"
"1078","LOC554223"
"1079","AMZ2"
"1080","PTPMT1"
"1081","MTA1"
"1082","RPL5"
"1083","RMND1"
"1084","ZNF573"
"1085","TOX4"
"1086","MAPKAPK2"
"1087","TAF5"
"1088","WRAP73"
"1089","VEGFB"
"1090","CASP3"
"1091","LOC148189"
"1092","UBXN10"
"1093","STAU1"
"1094","SLC39A11"
"1095","MNAT1"
"1096","GLB1L2"
"1097","ZSCAN4"
"1098","TRIM39"
"1099","VAX1"
"1100","RPL26"
"1101","FRMPD4"
"1102","MAPT"
"1103","MRPL1"
"1104","FAM108A1"
"1105","TUBG2"
"1106","UCN2"
"1107","LOC100128590"
"1108","COMMD10"
"1109","MYO7B"
"1110","TSR2"
"1111","RTP1"
"1112","SMARCC1"
"1113","RFC5"
"1114","RPS6KA4"
"1115","SDCBP"
"1116","SNHG5"
"1117","PRPF40B"
"1118","MS4A2"
"1119","LOC646471"
"1120","MYH7B"
"1121","HMGN2"
"1122","RTN4R"
"1123","ITGB1BP2"
"1124","AGK"
"1125","LOC100507250"
"1126","LOC100507217"
"1127","HIC2"
"1128","MAGOHB"
"1129","TIMM50"
"1130","C11orf67"
"1131","FAIM"
"1132","DUT"
"1133","PEX2"
"1134","AUH"
"1135","HSPA5"
"1136","INTS10"
"1137","MRPS27"
"1138","POLR2L"
"1139","SALL1"
"1140","GNB5"
"1141","DIO2"
"1142","LZTFL1"
"1143","NDFIP1"
"1144","RAB35"
"1145","ANXA4"
"1146","CNST"
"1147","PDK1"
"1148","PPP2R1A"
"1149","THOC6"
"1150","C1QTNF9"
"1151","ENDOD1"
"1152","SNHG7"
"1153","MPHOSPH8"
"1154","HPCA"
"1155","SCNN1B"
"1156","CYP4X1"
"1157","SHANK1"
"1158","LOC619207"
"1159","PPP2R5B"
"1160","MARCH7"
"1161","SLC39A8"
"1162","SOX7"
"1163","ABCC9"
"1164","RNF141"
"1165","GBP5"
"1166","DDIT4"
"1167","LAMTOR1"
"1168","PPP1R13B"
"1169","SLC25A40"
"1170","IRX3"
"1171","PSPC1"
"1172","DEF6"
"1173","DNAJB5"
"1174","SHKBP1"
"1175","TTF2"
"1176","CRIP1"
"1177","ARHGAP1"
"1178","SIN3A"
"1179","CTU2"
"1180","TNFSF13"
"1181","ALAD"
"1182","UBE2Q2P1"
"1183","SLC38A4"
"1184","DPYD"
"1185","MLLT10P1"
"1186","LINC00264"
"1187","TRIM67"
"1188","ALDH3A1"
"1189","AASDH"
"1190","ARFGAP1"
"1191","ASB13"
"1192","COPZ1"
"1193","ABCC8"
"1194","MFI2"
"1195","PCMTD2"
"1196","TTF1"
"1197","HOXD3"
"1198","CNGB3"
"1199","LRRC58"
"1200","MMS22L"
"1201","CCL3"
"1202","CAPN12"
"1203","KCNJ11"
"1204","SSR3"
"1205","PDXDC2P"
"1206","RFNG"
"1207","TTC32"
"1208","NOMO3"
"1209","MUL1"
"1210","FTSJ1"
"1211","SEMA3A"
"1212","IFI27L1"
"1213","FGFR1OP"
"1214","FLJ45513"
"1215","TNFSF10"
"1216","RPSAP9"
"1217","PRPSAP1"
"1218","IGJ"
"1219","CHFR"
"1220","AKIP1"
"1221","TLX3"
"1222","RPS6KA2"
"1223","DCAF11"
"1224","BCAR3"
"1225","WDR75"
"1226","AGFG1"
"1227","C1orf204"
"1228","DBP"
"1229","LOC100631378"
"1230","PSMD10"
"1231","F8A1"
"1232","RHOBTB3"
"1233","PRKACA"
"1234","LOC100507588"
"1235","GPC2"
"1236","GDF6"
"1237","IGSF8"
"1238","SLC33A1"
"1239","KIAA0195"
"1240","GAL"
"1241","ZNF589"
"1242","LINC00536"
"1243","KDM5C"
"1244","TGFBR1"
"1245","DCDC1"
"1246","DHFRL1"
"1247","FBXO41"
"1248","PHOSPHO2"
"1249","H2AFY"
"1250","DPY19L4"
"1251","PTRHD1"
"1252","EIF4H"
"1253","MPST"
"1254","ARFIP1"
"1255","TMEM237"
"1256","DND1"
"1257","CYP2E1"
"1258","ELOVL4"
"1259","SPATA16"
"1260","POLR2K"
"1261","AICDA"
"1262","DIRC1"
"1263","CES1"
"1264","SPTBN1"
"1265","AP4E1"
"1266","LOC100144604"
"1267","MFI2-AS1"
"1268","ZBTB32"
"1269","AGPAT1"
"1270","NISCH"
"1271","ZNF780A"
"1272","TBC1D14"
"1273","LOC644961"
"1274","MARK1"
"1275","ENO4"
"1276","C7orf10"
"1277","REM2"
"1278","GFRA3"
"1279","RCC2"
"1280","SLC35E4"
"1281","ARRDC5"
"1282","FCRL1"
"1283","ANKZF1"
"1284","HIST3H2A"
"1285","GLYR1"
"1286","DISC1"
"1287","BRD4"
"1288","NEIL3"
"1289","DNAJC15"
"1290","CECR5"
"1291","CCT2"
"1292","CRYZL1"
"1293","ERI3"
"1294","RBM7"
"1295","FAM102A"
"1296","AQP5"
"1297","EID3"
"1298","ABCF1"
"1299","TMEM80"
"1300","MAP2K4"
"1301","ANO2"
"1302","PPP1R9B"
"1303","ZNF7"
"1304","ARHGAP39"
"1305","RAD18"
"1306","C10orf88"
"1307","MAVS"
"1308","CCDC19"
"1309","HNRNPUL1"
"1310","ESR1"
"1311","MAPKAPK5"
"1312","KCND2"
"1313","TCTEX1D2"
"1314","NPPB"
"1315","PNPLA2"
"1316","GNGT1"
"1317","LSM10"
"1318","MAP3K7"
"1319","ARHGDIA"
"1320","SGK494"
"1321","GPR15"
"1322","INTS2"
"1323","SEC31A"
"1324","PTGFRN"
"1325","JMJD8"
"1326","LOC401321"
"1327","KLHDC4"
"1328","ATF1"
"1329","VMA21"
"1330","WDPCP"
"1331","C9orf46"
"1332","PTGDS"
"1333","L3MBTL2"
"1334","CUL1"
"1335","CDC42BPG"
"1336","ATP5B"
"1337","ADAP1"
"1338","SLC25A48"
"1339","PACRGL"
"1340","NKX2-6"
"1341","KIAA1797"
"1342","LOC92249"
"1343","USP32P2"
"1344","XPR1"
"1345","LOC100506895"
"1346","CEACAM16"
"1347","LILRB4"
"1348","ZNF541"
"1349","FAM204A"
"1350","BAALC"
"1351","UBN2"
"1352","FAM111B"
"1353","SLC46A1"
"1354","SETD1A"
"1355","DLX2"
"1356","MGC45922"
"1357","MAPK8IP2"
"1358","C19orf6"
"1359","IMMP2L"
"1360","PMS2CL"
