"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count","X2536.KZ.17.FS.count","X2536.KZ.18.FS.count","X2536.KZ.23.FS.count","X2536.KZ.25.FS.count","X2536.KZ.28.FS.count","X2536.KZ.33.FS.count","X2536.KZ.34.FS.count","X2536.KZ.4.FS.count","X2536.KZ.7.FS.count"
"UBL7",217,176,138,297,152,54,146,450,237,167,215,168,231
"UBLCP1",300,363,330,375,372,173,374,751,335,377,493,242,539
"UBN1",1968,2073,1101,566,1334,568,971,855,1639,1689,1521,2157,1198
"UBN2",6267,4031,3992,2007,2639,1590,5954,3200,3481,4846,3368,6838,4782
"UBOX5",389,433,344,244,196,148,250,350,172,230,301,382,465
"UBOX5-AS1",0,2,1,7,4,12,0,0,0,0,0,0,1
"UBP1",2264,3565,2435,1118,2487,1237,2047,1723,3199,3287,3086,2673,3927
"UBQLN1",3459,4130,2530,2545,2898,945,3273,4066,3171,2993,3612,3833,2901
"UBQLN2",1449,1230,1944,1482,999,497,1385,2491,1602,1278,1643,1266,918
"UBQLN3",5,13,21,11,12,20,0,3,8,11,9,3,10
"UBQLN4",1244,965,595,694,965,399,793,1142,1041,1335,1854,1772,1150
"UBQLNL",30,11,29,28,16,23,18,42,6,10,18,19,31
"UBR1",1340,1158,1530,656,1153,249,869,1131,987,1087,907,1424,772
"UBR2",1699,2456,2100,1521,929,398,1532,2675,1902,2520,1873,2078,2137
"UBR3",1926,1495,1659,2139,1395,636,1632,3295,1724,1673,1735,1796,1045
"UBR4",14083,13413,11027,11612,4361,3910,8329,17766,8623,9522,11803,10850,10699
"UBR5",6544,9572,4749,4035,5701,1487,4504,6880,6498,4664,6137,6008,6935
"UBR7",460,918,667,592,783,510,799,1019,882,658,1244,584,641
"UBTD1",56,64,29,26,42,21,15,49,44,45,42,47,43
"UBTD2",505,494,469,520,769,144,521,872,432,240,780,290,736
"UBTF",1300,1412,954,1076,743,403,1003,1671,1458,1423,1479,1640,1285
"UBTFL1",6,1,0,4,2,7,0,0,0,2,1,0,0
"UBTFL10",0,0,0,0,2,1,0,0,0,0,0,0,0
"UBTFL2",0,0,4,0,1,13,0,0,2,0,0,1,0
"UBTFL3",0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL5",0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL6",0,0,2,10,4,11,0,3,1,0,0,2,0
"UBTFL7",3,0,0,5,3,5,0,0,1,2,0,0,1
"UBTFL9",5,5,0,0,8,5,0,0,1,2,1,0,3
"UBXN1",256,468,329,284,231,154,307,447,430,302,240,551,452
"UBXN10",33,15,46,54,20,68,19,36,19,40,13,18,10
"UBXN11",400,727,262,154,249,268,555,297,376,425,549,178,374
"UBXN2A",846,767,489,620,781,181,720,1006,548,554,661,592,751
"UBXN2B",1172,2034,748,636,581,501,1435,1222,795,888,670,678,1438
