0	1	2
X3687.SS.25.count	IMU	5;10  
X3687.SS.27.count	KRT	15  
X3687.SS.33.count	IMU	15  
X3687.SS.34.count	IMU	15  
X3687.SS.7.count	KRT	15  
X3687.SS.8.count	KRT	15  
X3687.SS.9.count	KRT	14;1  
X3860.SS.12.count	KRT	1;14  
X3860.SS.14.count	KRT	15  
X3860.SS.18.count	IMU	12;3  
X3860.SS.3.count	KRT	15  
X3860.SS.5.count	IMU	15  
X3860.SS.7.count	IMU	15  
X3860.SS.8.count	IMU	15  
X3860.SS.9.count	KRT	15  
X4165.SS.11.count	KRT	15  
X4165.SS.13.count	KRT	15  
X4165.SS.17.count	IMU	15  
X4165.SS.19.count	KRT	15  
X4165.SS.2.count	KRT	15  
X4165.SS.20.count	KRT	6;9  
X4165.SS.22.count	IMU	5;10  
X4165.SS.24.count	KRT	15  
X4165.SS.25.count	KRT	15  
X4165.SS.26.count	KRT	15  
X4165.SS.27.count	IMU	15  
X4165.SS.28.count	IMU	15  
X4165.SS.29.count	IMU	15  
X4165.SS.30.count	IMU	15  
X4165.SS.31.count	KRT	15  
X4165.SS.32.count	KRT	15  
X4165.SS.33.count	IMU	9;6  
X4165.SS.34.count	KRT	15  
X4165.SS.36.count	IMU	15  
X4165.SS.37.count	IMU	15  
X4165.SS.41.count	KRT	15  
X4165.SS.43.count	KRT	15  
X4165.SS.44.count	KRT	4;11  
X4165.SS.45.count	IMU	15  
X4165.SS.46.count	IMU	15  
X4165.SS.47.count	KRT	15  
X4165.SS.48.count	KRT	15  
X4165.SS.49.count	KRT	10;5  
X4165.SS.8.count	IMU	15  
X4165.SS.9.count	IMU	15  
