"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count"
"ADAMTS13","3.12178419781646","2.04638597043421"
"ADAMTS14","4.70477595372774","2.02810464683313"
"ADAMTS15","1.62913722559227","-0.88407510485039"
"ADAMTS16","0.612186412644319","1.33245633382162"
"ADAMTS17","4.40750787147923","3.57053160717158"
"ADAMTS18","1.19153050381321","2.15146083783524"
"ADAMTS19-AS1","-0.0159278429998707","-2.49210214931233"
"ADAMTS2","6.01351572428108","5.59207789489247"
"ADAMTS20","-2.99154679673557","2.26509536816337"
"ADAMTS3","0.662232284549689","1.67557822700597"
"ADAMTS4","4.41117111337404","3.84570749772869"
"ADAMTS5","3.44847908345315","2.26509536816337"
"ADAMTS6","3.46971322930227","3.05166813026685"
"ADAMTS7","3.8341084322068","2.02810464683313"
"ADAMTS7P1","-0.99015951693748","-2.49210214931233"
"ADAMTS7P3","-0.99015951693748","-2.99154679673557"
"ADAMTS7P4","-0.475447689469323","-1.37408543620625"
"ADAMTS8","-0.0968614115448922","-2.99154679673557"
"ADAMTS9","5.33929228528275","3.49267554636691"
"ADAMTS9-AS1","-1.54980588106307","-1.19162410141983"
"ADAMTS9-AS2","2.98099534999229","0.613600275755168"
"ADAMTSL1","2.4790303618722","1.36194983877653"
"ADAMTSL2","1.77273520553525","0.563705079953651"
"ADAMTSL3","0.662232284549689","1.83129409111911"
"ADAMTSL4","4.59310700696855","3.38904736458326"
"ADAMTSL5","3.73236073849004","0.840068719897899"
"ADAP1","0.450704963448255","2.32622439861811"
"ADAP2","3.69076970612127","4.57866458310652"
"ADAR","9.1522268614451","8.82021268032808"
"ADARB1","5.03662135087391","4.18793348877031"
"ADARB2","3.84498319194575","2.18485132648447"
"ADAT1","4.78884072356453","4.78870455509748"
"ADAT2","4.59632852971551","5.35781871400558"
"ADAT3","3.36783207848723","2.4954552981726"
"ADCK1","3.52485557110196","2.96783048539913"
"ADCK2","4.1944568285215","3.30802435608451"
"ADCK5","3.25004714655985","3.46576099651916"
"ADCY1","2.54720379075828","2.53483354235757"
"ADCY10","0.560341911985541","-0.227844185128804"
